,,,,,,,,,,,SHIPMENT CHALLAN,,,,,,,,,,,,,,,,,,
,,,,,,,ACME INDUSTRIES LTD.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Challan No.,,,,,,,,Challan Date,,,,
,,,,,,,"PWD
Sector - DELHI$ 
India
",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,SH000013,,,,,,,,24-12-2014,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, Transporter Name,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CIN No. :,,,,,null,,,,,,,,,,,,,,,,,,,,,,
 Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S.K. TELECOM,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, Transporter GR No.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Consignee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,MR No.,,,,,,,External Document Date,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Buyer's Order No.,,,,,,,,,,,
,,,,Contact Person Name :,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Phone No.                      :,,,,,,,,,,,,,,,,,,,,,,,,,
Sr. No.,,,Description of Goods,,,,,,,,,,,Serial No.,,Quantity,,,,,Rate,,per,,,,,Amount,
,,,,,,,,,,,,,,,,Shipped,,,,Billed,,,,,,,,,
1,,.,,,,,,,,,,,,FR0008,,2.00,,,,2.00,,,kilometer (km),,,,,"809,998.33",
2,,.,,,,,,,,,,,,FR0009,,,,,,,,,,,,,,,
3,,.,,,,,,,,,,,,,,1.00,,,,1.00,,,Piece,,,,,74.00,
, Company's VAT TIN :,,,,,09465707020,,,,,,Total Value:,,,,,,,,,,,,,"1,620,070.66",,,,
,,,,,,,,,,,,,,,,,,,,,,,,"609,508.00",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"12,190.00",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"228,280.00",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"57,071.00",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"6,095.00",,,,,
Total Net Value:,,,,,,,,,,,,,,,,,,,,,,,,,,,2533214.663668,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Amount in words,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Twenty-Five Lakh Thirty-Three Thousand Two Hundred Fourteen and Paise Sixty-,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Authorised Signatory,,,,,,,
,Created By,,,,SUPERVISOR,,,,,Approved By,,,,,SUPERVISOR,,,,,,,For  ACME INDUSTRIES LTD.,,,,,,,
,Received By,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name:________________________________________,,,,,,,,,,,,Signature:____________________________,,,,,,,,,,,,,,,,
,,,,,,,,,This is a Computer generated Challan,,,,,,,,,,,,,,,,,,,,
"03-Jul-2015 , 12.57 PM",,,,,,,,,,,,,,,,,,,,,,,,,,Page 1 of,,, 1
