,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Original,,
TAX INVOICE/SALES INVOICE/BILL/CASH MEMO/STOCK TRANSFER INVOICE/JOB WORK INVOICE/SUPPLEMENTARY INVOICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(Invoice for removal of Excisable Goods from a factory on payment of duty under rule 11 of Central Excise(No.2) Rule, 2000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.K. WINDING WIRES - PUNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phone :,,,,"                    , E-mail ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 TIN No.  :,,,,,,27970860435,,,,,,,,,,,,,,,CST TIN ,,,,,:,,27970860435,,,,,,,,,,,Range     :,,Alandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ECC No.:,,,,,,AAACG0177DEM006,,,,,,,,,,,,,,,PAN No.,,,,,:,,,,,,,,,,,,,Division   :,,PUNE-VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAACG0177D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Service Tax No.:,,,,,,,,,,,,,,,,,,,,,CIN        ,,,,,:,,,,,,,,,,,,,Commissionerate:,,,,,,,,,,,,,,,PLA No. :,,,,,,,,,,,,,,,
, Buyer       ,,,,,,:,,,LAXMI HYDRAULICS PVT LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,, Invoice No       ,,,,,,:,,00000037,,,,,,,,,,Date   :,,,19-May-2015,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Cust Order No,,,,,,:,,,,,,,,,,,,Date   :,,,5/19/15 12:00 AM,,,,,,,,,,
