Group Name,Item Name,Class Of Insulation,Covering ,Material Designation-1,Material Designation-2,Size In Mm,Spool Size,Wire Type
AL (FG),AL0.44MPMEDPT-25,MP (AWW),,0.44,SWG,0.44,PT-25,ALUMINIUM WINDING 
AL (FG),AL0.44MPMEDPT-60,MP (AWW),,0.44,MM,0.44,PT-60,ALUMINIUM WINDING 
AL (FG),AL0.47MPMEDPT-25,MP (AWW),,0.47,SWG,0.47,PT-25,ALUMINIUM WINDING 
AL (FG),AL0.47MPMEDPT-60,MP (AWW),,0.47,MM,0.47,PT-60,ALUMINIUM WINDING 
AL (FG),AL0.48MPMEDPT-25,MP (AWW),,0.48,SWG,0.48,PT-25,ALUMINIUM WINDING 
AL (FG),AL0.54MPMEDPT-25,MP (AWW),,0.54,SWG,0.54,PT-25,ALUMINIUM WINDING 
AL (FG),AL0.54MPMEDPT-60,MP (AWW),,0.54,MM,0.54,PT-60,ALUMINIUM WINDING 
AL (FG),AL0.54MPMEDPT-90,MP (AWW),,0.54,MM,0.54,PT-90,ALUMINIUM WINDING 
AL (FG),AL0.65DCMEDPT-90,DC (AWW),,0.65,SWG,0.65,PT-90,ALUMINIUM WINDING 
Balco Circular,AL0.75MPMEDPT-90,MP (AWW),,0.75,SWG,0.75,PT-90,ALUMINIUM WINDING 
Balco Circular,AL0.91MPMPT-90,MP (AWW),,0.9,MM,0.914,PT-90,ALUMINIUM WINDING 
AL (FG),AL1.02DCMEDPT-25,DC (AWW),,1.02,MM,1.02,PT-25,ALUMINIUM WINDING 
Hindalco,AL1.59MPMEDM266,MP (CWW),,1.59,MM,1,M-266,
AL (FG),AL1.8DCFINEM-266,DC (AWW),,1.8,MM,1.8,M-266,ALUMINIUM WINDING 
AL (FG),AL13HCMEDM-266,HC (AWW),,13,SWG,2.3370000000000002,M-266,ALUMINIUM WINDING 
AL (FG),AL14HCMEDM-266,HC (AWW),,14,SWG,2.032,M-266,ALUMINIUM WINDING 
AL (FG),AL14MPMEDM-266,MP (AWW),MED,14,SWG,2.032,M-266,
AL (FG),AL15SSFINEM-266,SS (AWW),,15,SWG,1.829,M-266,ALUMINIUM WINDING 
AL (FG),AL16.5MPMEDM-266,MP (AWW),,16.5,SWG,1.524,M-266,ALUMINIUM WINDING 
Balco Circular,AL16HCMEDPT-25,HC (AWW),MED,16,SWG,,PT-25,ALUMINIUM WINDING 
AL (FG),AL16MPMEDM-266,MP (AWW),,16,SWG,1.6259999999999999,M-266,ALUMINIUM WINDING 
Balco Circular,AL17HCMEDPT-25,HC (AWW),MED,17,SWG,,PT-25,ALUMINIUM WINDING 
AL (FG),AL17MPMEDM-266,MP (AWW),,17,SWG,1.4219999999999999,M-266,ALUMINIUM WINDING 
AL (FG),AL18.5MPMEDPT-25,MP (AWW),,18,SWG,1.117,PT-25,ALUMINIUM WINDING 
AL (FG),AL18MPMEDM-266,MP (AWW),,18,SWG,1.2190000000000001,M-266,ALUMINIUM WINDING 
