  Warehouse ,Group,Item Code,Description,Unit,Total Qty.,Total Value,Reserved Qty.,Reserved Value,Rejected Qty.,Rejected Value,Reworkable Qty.,Reworkable Value,Scrap Qty.,Scrap Value
FINISHED GOODS - SEC,FINISHED GOODS,CCA0.23SSFINEPT-10,CCA0.23SSFINEPT-10,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),COPPER SCRAP,COPPER SCRAP,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.07SSFINEPT-4,CU0.07SSFINEPT-4,KG,261.19,127983.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.09SSFINEPT-4,CU0.09SSFINEPT-4,KG,11.43,5257.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.1*4SSFINEPT-10,CU0.1*4SSFINEPT-10,KG,153.28,76637.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.102SSFINEPT-4,CU0.102SSFINEPT-4,KG,87.57,42909.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.102SSHFINEPT-4,CU0.102SSHFINEPT-4,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.112SSHFINEPT-4,CU0.112SSHFINEPT-4,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.125SSHFINEPT-4,CU0.125SSHFINEPT-4,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.132SSFINEPT-4,CU0.132SSFINEPT-4,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.132SSHFINEPT-4,CU0.132SSHFINEPT-4,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.140*4 SSFINEPT10,CU0.140*4 SSFINEPT10,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.14SSHFINEPT-10,CU0.14SSHFINEPT-10,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.14SSMEDPT-10,CU0.14SSMEDPT-10,KG,539.13,264173.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.15*3SSFINEPT-10,CU0.15*3SSFINEPT-10,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.15*4HSSFINEPT-10,CU0.15*4HSSFINEPT-10,KG,19.28,9640.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.152SSHFINEPT-10,CU0.152SSHFINEPT-10,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,CU (FG),CU0.15SSMEDPT-10,CU0.15SSMEDPT-10,KG,98.17,48103.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
