,,,,,,,ACME INDUSTRIES LTD.,,,,,,,,,,,,,,
,,,,,,,,,,Gate Entry For Job Work,,,,,,,,,,,
,,,,,,,,,,,,,,,,01-04-2015,,,29-05-2015,,
,,,,,,,,,,,,,,Period :,,,,To,,,
,Organisation : ACME INDUSTRIES LTD.,,,,,,,,,,,,,,,,,,,,
 Warehouse                               ,,,,:,ESS DELHI WAREHOUSE,,, Receipt Source Type              ,,,:,CUSTOMER,,,,,,,,,
,,,,:,S.K Jain,,, Document Type                      ,,,:,PROCESS ORDER,,,,,,,,,
 Gate Entry No                          ,,,,:,GE0000000131,,,Status,,,:,PENDING,,,,,,,,,
 Gate Entry Date ,,,,:,16/05/2015,,,,,,,,,,,,,,,,
S.NO.,,,Item Code,,,Item Name,,UOM,Received Qty,,,,Returned Qty,,,,Balanced Qty,,,,
0,,,,,,,,,,,,,,,,,,,,,
1,,,AM.0000006,,,SLS [MUD GUARD] [LIFO],,Pcs,1.00,,,,0.00,,,,1.00,,,,
,,,,,,,,,,,,,,,,,,,,,
,,"29-May-2015 , 9.45 AM",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Page 1 of,,,,, 1,
,"----------End Of Report----------
Generated By ebizframe10",,,,,,,,,,,,,,,,,,,,
