,,,,,ACME INDUSTRIES LTD.,,,,,,,,,,,,,,
,,,,,,,,,,,Gate Pass,,,,,,,,
,,,,,,,,,,,,,,,Dated,,,,
,Supplier Name & Address :,,,,,,,Gate Pass No,,,,,,,,,,,
,,,,,,,,GP0000043,,,,,,,11/06/2015,,,,
,Amit Chanda-Cust,,,,,,,,,,,,,,,,,,
,,,,,,,,Supplier's Reference,,,,,,,Dated,,,,
,"B-45
Sector-63
NOIDA, UTTAR PARDESH
Sector - DELHI 
India
",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,Reference Type,,,,,,,,,,,
,,,,,,,,External Entity,,,,,,,,,,,
,,,,,,,,Warehouse,,,,,,,,,,,
,,,,,,,,ESS DELHI WAREHOUSE,,,,,,,,,,,
,,,,,,,,Dispatched,,,,,,,Dated,,,,
,,,,,,,,Yes,,,,,,,11/06/2015,,,,
,,,,,,,,Received ,,,,,,,Dated,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,Remarks,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
S.No.,,,,Item Code,Item Name	,,,,UOM,Quantity Details,,,,,,,,,
,,,,,,,,,,Reworked,,Rejected,,,,,,Total Received,
,,,,,,,,,,,,,,,,,,,
,,,,,,For ACME INDUSTRIES LTD.,,,,,,,,,,,,,
,,Created By ,,,,,,,,,,,,,,Authorised Signatory,,,
,,,Alex Smith,,,,,,,,,,,,,,,,
,"24-Jun-2015 , 1.15 PM",,,,,,,,,,,,,,,,Page 1 of,, 1
"----------This is a Computer Generated Gate Pass----------
Generated By ebizframe10",,,,,,,,,,,,,,,,,,,
