 Warehouse Name  ,Item Group Name,Item  Name   ,Unit,Transaction No.,Date,Opening Qty ,Quantity,Closing Qty   ,Landed Cost,Value,Stock Effect
ESS DELHI WAREHOUSE,Alcohol,Alcohol,liter (l),RCPT0000000422,23-04-2015,646.00,10.00,668.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,Alcohol,Alcohol,liter (l),RCPT0000000426,23-04-2015,646.00,1.00,668.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,Alcohol,Alcohol,liter (l),RCPT0000000429,23-04-2015,646.00,1.00,668.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,Alcohol,Alcohol,liter (l),RCPT0000000403,20-04-2015,646.00,10.00,668.00,180.00,1800.00,Added
ESS DELHI WAREHOUSE,Automobile Group,Harley Davidson,pair,RCPT0000000401,18-04-2015,4.00,2.00,5.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,Automobile Group,Harley Davidson,pair,ISSU0000000518,03-02-2015,4.00,1.00,5.00,10.00,10.00,Reduced
ESS DELHI WAREHOUSE,Automobile Group,Levis Tshirt,pair,RCPT0000000399,17-04-2015,45.00,77.47,122.47,639.59,49549.42,Added
ESS DELHI WAREHOUSE,Automobile Group,YAMAHA-FZ,Piece,RCPT0000000423,23-04-2015,22.00,100.00,128.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,Automobile Group,YAMAHA-FZ,Piece,RCPT0000000397,15-04-2015,22.00,10.00,128.00,90000.00,900000.00,Added
ESS DELHI WAREHOUSE,Automobile Group,YAMAHA-FZ,Piece,ISSU0000000488,15-04-2015,22.00,1.00,128.00,90000.00,90000.00,Reduced
ESS DELHI WAREHOUSE,Automobile Group,YAMAHA-FZ,Piece,ISSU0000000471,06-04-2015,22.00,3.00,128.00,90000.00,270000.00,Reduced
ESS DELHI WAREHOUSE,Automobile Group,SLS [MUD GUARD] ,Pieces,RCPT0000000404,20-04-2015,34.00,10.00,44.00,800.00,8000.00,Added
ESS DELHI WAREHOUSE,Automobile Group,SLS [BIKE CHAIN ,Pieces,RCPT0000000373,04-04-2015,-58.00,10.00,-50.00,700.00,7000.00,Added
ESS DELHI WAREHOUSE,Automobile Group,SLS [BIKE CHAIN ,Pieces,ISSU0000000458,03-04-2015,-58.00,2.00,-50.00,700.00,1400.00,Reduced
ESS DELHI WAREHOUSE,Automobile Group,SLS [TAIL_LAMP],Piece,ISSU0000000501,21-04-2015,3.00,1.00,12.00,250.00,250.00,Reduced
ESS DELHI WAREHOUSE,Automobile Group,SLS [TAIL_LAMP],Piece,RCPT0000000411,21-04-2015,3.00,10.00,12.00,250.00,2500.00,Added
ESS DELHI WAREHOUSE,Automobile Group,AK 47,Piece,ISSU0000000483,10-04-2015,180.00,10.00,267.00,100.00,1000.00,Reduced
ESS DELHI WAREHOUSE,Automobile Group,AK 47,Piece,ISSU0000000482,10-04-2015,180.00,3.00,267.00,100.00,300.00,Reduced
ESS DELHI WAREHOUSE,Automobile Group,AK 47,Piece,RCPT0000000388,09-04-2015,180.00,100.00,267.00,100.00,10000.00,Added
ESS DELHI WAREHOUSE,Automobile Group,LAPTOP  COVER,Pieces,RCPT0000000390,10-04-2015,0.00,5.00,5.00,1200.00,6000.00,Added
ESS DELHI WAREHOUSE,Automobile Group,Test item Stock two,Piece,ISSU0000000515,07-01-2015,5.00,1.00,4.00,2000.00,2000.00,Reduced
ESS DELHI WAREHOUSE,Electronics Group,Nexus 7,Piece,RCPT0000000419,23-04-2015,12.00,1.00,13.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,Electronics Group,Lava 230,Pieces,RCPT0000000387,07-04-2015,1.00,2.00,3.00,0.00,0.00,Added
ESS DELHI WAREHOUSE,Electronics Group,SLS_MOBILE_LUMIA_730,Piece,RCPT0000000370,03-04-2015,0.00,100.00,100.00,435.00,43500.00,Added
ESS DELHI WAREHOUSE,Electronics Group,SLS_MOBILE_LUMIA_620,Piece,RCPT0000000370,03-04-2015,0.00,100.00,100.00,560.00,56000.00,Added
ESS DELHI WAREHOUSE,Electronics Group,SLS_BACKPANEL_LUMIA,Piece,ISSU0000000494,20-04-2015,0.00,2.00,148.00,340.00,680.00,Reduced
ESS DELHI WAREHOUSE,Electronics Group,SLS_BACKPANEL_LUMIA,Piece,RCPT0000000404,20-04-2015,0.00,10.00,148.00,340.00,3400.00,Added
ESS DELHI WAREHOUSE,Electronics Group,SLS_BACKPANEL_LUMIA,Piece,ISSU0000000467,03-04-2015,0.00,10.00,148.00,340.00,3400.00,Reduced
ESS DELHI WAREHOUSE,Electronics Group,SLS_BACKPANEL_LUMIA,Piece,RCPT0000000372,03-04-2015,0.00,50.00,148.00,340.00,17000.00,Added
ESS DELHI WAREHOUSE,Electronics Group,SLS_BACKPANEL_LUMIA,Piece,RCPT0000000371,03-04-2015,0.00,100.00,148.00,340.00,34000.00,Added
ESS DELHI WAREHOUSE,Electronics Group,SLS_BACKPANEL_LUMIA,Pieces,ISSU0000000494,20-04-2015,0.00,1.00,148.00,230.00,230.00,Reduced
ESS DELHI WAREHOUSE,Electronics Group,SLS_BACKPANEL_LUMIA,Pieces,RCPT0000000404,20-04-2015,0.00,10.00,148.00,230.00,2300.00,Added
ESS DELHI WAREHOUSE,Electronics Group,SLS_BACKPANEL_LUMIA,Pieces,ISSU0000000470,04-04-2015,0.00,1.00,148.00,230.00,230.00,Reduced
