 Warehouse, Item Group,Item Code,Item Description,UOM,Opening Balance Qty.,Receipt Qty.,Issued Qty.,Rejected Qty.,Reserve,Reworkable Qty.,Scrap Qty.,Closing Balance Qty.
FINISHED GOODS - SEC,Balco Circular,AL0.75MPMEDPT-90,AL0.75MPMEDPT-90,KG,0.00,220.72,220.72,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,1.0957,CU0.56DCSBMEDPT-25,CU0.56DCSBMEDPT-25,KG,695.26,459.46,1154.73,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,1.0957,CU0.87DCFINEPT-180,CU0.87DCFINEPT-180,KG,0.00,13498.46,13333.34,0.00,0.00,0.00,0.00,165.12
FINISHED GOODS - SEC,1.0957,CU0.95DCMEDPT-180,CU0.95DCMEDPT-180,KG,0.00,12871.56,12750.48,0.00,0.00,0.00,0.00,121.08
FINISHED GOODS - SEC,1.0957,CU2.24MCMEDPT-90,CU2.24MCMEDPT-90,KG,0.00,2773.89,2773.89,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,1.0957,CU2DCMEDPT-90,CU2DCMEDPT-90,KG,814.90,8910.84,9725.74,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,Denso,CU0.35MCFINEPT-90,CU0.35MCFINEPT-90,KG,70.59,0.00,70.59,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,Denso,CU0.45DCFINEPT-90,CU0.45DCFINEPT-90,KG,245.52,0.00,245.52,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,Denso,CU0.55DCFINEPT-90,CU0.55DCFINEPT-90,KG,212.70,6095.05,6063.32,0.00,0.00,0.00,0.00,244.43
FINISHED GOODS - SEC,Denso,CU0.58DCMEDPT-90,CU0.58DCMEDPT-90,KG,395.26,8268.92,8516.56,0.00,0.00,0.00,0.00,147.63
FINISHED GOODS - SEC,Denso,CU0.65DCMEDPT-90,CU0.65DCMEDPT-90,KG,0.00,7071.06,6914.32,0.00,0.00,0.00,0.00,156.74
FINISHED GOODS - SEC,Denso,CU0.6DCFINEPT-90,CU0.6DCFINEPT-90,KG,81.56,2229.45,1253.56,0.00,0.00,0.00,0.00,1057.46
FINISHED GOODS - SEC,Denso,CU0.73DCFINEPT-90,CU0.73DCFINEPT-90,KG,27.81,0.00,0.00,0.00,0.00,0.00,0.00,27.81
FINISHED GOODS - SEC,Denso,CU0.85DCMEDPT-90,CU0.85DCMEDPT-90,KG,1204.08,18670.29,18698.40,0.00,0.00,0.00,0.00,1175.98
FINISHED GOODS - SEC,Denso,CU0.8DCMEDPT-90,CU0.8DCMEDPT-90,KG,0.00,4572.86,3838.74,0.00,0.00,0.00,0.00,734.13
FINISHED GOODS - SEC,Denso,CU0.95DCMEDPT-90,CU0.95DCMEDPT-90,KG,670.05,11383.00,9886.28,0.00,0.00,0.00,0.00,2166.78
FINISHED GOODS - SEC,Denso,CU0.9DCMEDPT-90,CU0.9DCMEDPT-90,KG,872.96,39966.97,39302.05,0.00,0.00,0.00,0.00,1537.88
FINISHED GOODS - SEC,Denso,CU1DCFINEPT90,CU1DCFINEPT90,KG,161.94,25954.64,24405.43,0.00,0.00,0.00,0.00,1711.15
FINISHED GOODS - SEC,Denso,CU1DCMEDPT-90,CU1DCMEDPT-90,KG,841.52,17625.50,17505.97,0.00,0.00,0.00,0.00,961.04
FINISHED GOODS - SEC,Denso,cu0.65dcfinept-90,CU0.65DCFINEPT-90,KG,474.74,658.59,243.71,0.00,0.00,0.00,0.00,889.62
FINISHED GOODS - SEC,Monthly WWMA,CU0.55DCFINEPT-45,CU0.55DCFINEPT-45,KG,46.99,7395.38,7278.82,0.00,0.00,0.00,0.00,163.54
FINISHED GOODS - SEC,Monthly WWMA,CU0.55MCFINEPT-45,CU0.55MCFINEPT-45,KG,278.34,18187.70,15320.67,0.00,0.00,0.00,0.00,3145.37
FINISHED GOODS - SEC,Monthly WWMA,CU0.57MCFINEPT-45,CU0.57MCFINEPT-45,KG,153.98,3337.08,2948.02,0.00,0.00,0.00,0.00,543.03
FINISHED GOODS - SEC,Monthly WWMA,CU0.65DCFINEPT-45,CU0.65DCFINEPT-45,KG,32.94,0.00,0.00,0.00,0.00,0.00,0.00,32.94
FINISHED GOODS - SEC,Monthly WWMA,CU0.65MCFINEPT-45,CU0.65MCFINEPT-45,KG,1036.66,1211.62,2143.44,0.00,0.00,0.00,0.00,104.84
FINISHED GOODS - SEC,Monthly WWMA,CU0.6DCFINEPT-45,CU0.6DCFINEPT-45,KG,38.66,7234.10,6614.80,0.00,0.00,0.00,0.00,657.98
FINISHED GOODS - SEC,PROV,CU0.53MPMEDPT-90,CU0.53MPMEDPT-90,KG,0.00,2537.84,2048.58,0.00,0.00,0.00,0.00,489.26
FINISHED GOODS - SEC,PROV,CU0.67MPMEDPT-90,CU0.67MPMEDPT-90,KG,0.00,2040.27,1958.56,0.00,0.00,0.00,0.00,81.72
FINISHED GOODS - SEC,PROV,CU0.7MPMEDPT-90,CU0.7MPMEDPT-90,KG,2000.28,26604.79,27938.74,0.00,0.00,0.00,0.00,666.32
FINISHED GOODS - SEC,PROV,CU27MPMEDPT-25,CU27MPMEDPT-25,KG,18.14,1669.34,1301.86,0.00,0.00,0.00,0.00,385.62
FINISHED GOODS - SEC,PROV,CU29MPMEDPT-25,CU29MPMEDPT-25,KG,20.20,0.00,20.20,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,PROV,CU30MPMEDPT-10,CU30MPMEDPT-10,KG,0.00,5412.24,5252.43,0.00,0.00,0.00,0.00,159.80
FINISHED GOODS - SEC,PROV,CU31MPMEDPT-10,CU31MPMEDPT-10,KG,0.00,582.81,582.81,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,PROV,CU32MPMEDPT-10,CU32MPMEDPT-10,KG,14.91,5781.27,5781.27,0.00,0.00,0.00,0.00,14.91
FINISHED GOODS - SEC,PROV,CU33MPMEDPT-10,CU33MPMEDPT-10,KG,111.74,1466.62,937.64,0.00,0.00,0.00,0.00,640.73
FINISHED GOODS - SEC,PROV,CU34MPMEDPT-10,CU34MPMEDPT-10,KG,314.76,6192.66,4658.68,0.00,0.00,0.00,0.00,1848.74
FINISHED GOODS - SEC,PROV,CU35MPMEDPT-10,CU35MPMEDPT-10,KG,0.00,5239.02,5239.02,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,PROV,CU36MPMEDPT-10,CU36MPMEDPT-10,KG,0.00,953.96,953.96,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,PROV,CU37MPMEDPT-10,CU37MPMEDPT-10,KG,24.89,50.44,0.00,0.00,0.00,0.00,0.00,75.33
FINISHED GOODS - SEC,PROV,cu30mpmedpt-25,CU30MPMEDPT-25,KG,0.00,1739.64,1739.64,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,Weekly 1.0585 PLUS 1,CU0.72MPMEDPT-45,CU0.72MPMEDPT-45,KG,11.34,12328.36,12339.70,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,Weekly 1.0585 PLUS 1,CU35SSMEDPT-10,CU35SSMEDPT-10,KG,426.66,19771.38,20198.04,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,Weekly 1.0585 PLUS 1,CU37*3SSMEDPT-10,CU37*3SSMEDPT-10,KG,111.68,475.84,520.98,0.00,0.00,0.00,0.00,66.54
FINISHED GOODS - SEC,Weekly 1.0585 PLUS 1,CU42SSFINEPT-4,CU42SSFINEPT-4,KG,0.00,764.20,749.26,0.00,0.00,0.00,0.00,14.94
FINISHED GOODS - SEC,Weekly 1.0585 PLUS 1,cu42*10ssfinept-10,CU42*10SSFINEPT-10,KG,0.00,86.42,86.42,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,Weekly WWMA,CU0.112SSFINEPT-4,CU0.112SSFINEPT-4,KG,0.00,591.32,591.32,0.00,0.00,0.00,0.00,0.00
FINISHED GOODS - SEC,Weekly WWMA,CU0.508SSMEDPT-25,CU0.508SSMEDPT-25,KG,7.31,0.00,0.00,0.00,0.00,0.00,0.00,7.31
FINISHED GOODS - SEC,Weekly WWMA,CU0.75DCMEDPT-45,CU0.75DCMEDPT-45,KG,492.08,1579.75,2071.82,0.00,0.00,0.00,0.00,0.00
