Warehouse Name,S.No,Description,Unit,Total Stock,Outstanding Days,<= 1 Days,(2 - 2) Days,(3 - 3) Days,(4 - 4) Days,(5 - 5) Days,>= 5 Days
FINISHED GOODS - SEA,1,AL0.44MPMEDPT-25,KG,89.08,11,0,0,0,0,0,89.08
,,, Value,,,0.00,0.00,0.00,0.00,0.00,41867.60
FINISHED GOODS - SEA,2,AL0.47MPMEDPT-25,KG,101.30,11,0,0,0,0,0,101.295
,,, Value,,,0.00,0.00,0.00,0.00,0.00,47608.65
FINISHED GOODS - SEA,3,AL0.54MPMEDPT-25,KG,174.90,11,0,0,0,0,0,174.9
,,, Value,,,0.00,0.00,0.00,0.00,0.00,82203.00
FINISHED GOODS - SEA,4,AL19.5MPMEDPT-25,KG,14.87,11,0,0,0,0,0,14.87
,,, Value,,,0.00,0.00,0.00,0.00,0.00,6988.90
FINISHED GOODS - SEA,5,AL22DCMEDPT-25,KG,6.72,11,0,0,0,0,0,6.715
,,, Value,,,0.00,0.00,0.00,0.00,0.00,3223.20
FINISHED GOODS - SEA,6,AL23HCMEDPT-25,KG,18.01,11,0,0,0,0,0,18.01
,,, Value,,,0.00,0.00,0.00,0.00,0.00,8554.75
FINISHED GOODS - SEA,7,AL23MPMEDPT-25,KG,109.52,11,0,0,0,0,0,109.52
,,, Value,,,0.00,0.00,0.00,0.00,0.00,52569.60
FINISHED GOODS - SEA,8,AL24DCMEDPT-25,KG,268.94,11,0,0,0,0,0,268.945
,,, Value,,,0.00,0.00,0.00,0.00,0.00,129093.60
FINISHED GOODS - SEA,9,AL24HCMEDPT-25,KG,42.24,11,0,0,0,0,0,42.24
,,, Value,,,0.00,0.00,0.00,0.00,0.00,20064.00
FINISHED GOODS - SEA,10,AL25DCMEDPT-25,KG,90.75,11,0,0,0,0,0,90.75
,,, Value,,,0.00,0.00,0.00,0.00,0.00,21780.00
FINISHED GOODS - SEA,11,AL26MPMEDPT-25,KG,43.26,11,0,0,0,0,0,43.26
,,, Value,,,0.00,0.00,0.00,0.00,0.00,20332.20
FINISHED GOODS - SEA,12,AL27DCMEDPT25,KG,3.84,11,0,0,0,0,0,3.84
,,, Value,,,0.00,0.00,0.00,0.00,0.00,960.00
FINISHED GOODS - SEA,13,AL27MPMEDPT-25,KG,11.90,11,0,0,0,0,0,11.905
,,, Value,,,0.00,0.00,0.00,0.00,0.00,5595.35
FINISHED GOODS - SEA,14,AL28DCMEDPT25,KG,536.63,11,0,0,0,0,0,536.63
,,, Value,,,0.00,0.00,0.00,0.00,0.00,134157.50
FINISHED GOODS - SEA,15,AL28MPMEDPT-25,KG,1270.20,11,0,0,0,0,0,1270.2
,,, Value,,,0.00,0.00,0.00,0.00,0.00,596994.00
FINISHED GOODS - SEA,16,AL29MPMEDPT-25,KG,1391.08,11,0,0,0,0,0,1391.085
,,, Value,,,0.00,0.00,0.00,0.00,0.00,653809.95
FINISHED GOODS - SEA,17,AL30MPMEDPT-25,KG,638.28,11,0,0,0,0,0,638.275
,,, Value,,,0.00,0.00,0.00,0.00,0.00,299989.25
FINISHED GOODS - SEA,18,AL31MPMEDPT-10,KG,240.82,11,0,0,0,0,0,240.815
,,, Value,,,0.00,0.00,0.00,0.00,0.00,113183.05
FINISHED GOODS - SEA,19,AL33MPMEDPT-10,KG,72.21,11,0,0,0,0,0,72.21
,,, Value,,,0.00,0.00,0.00,0.00,0.00,33938.70
FINISHED GOODS - SEA,20,AL34MPMEDPT-10,KG,45.75,11,0,0,0,0,0,45.75
,,, Value,,,0.00,0.00,0.00,0.00,0.00,21502.50
FINISHED GOODS - SEC,1,COPPER SCRAP,KG,304.00,9,0,0,0,0,0,304
,,, Value,,,0.00,0.00,0.00,0.00,0.00,106400.00
FG - SCRAP - CU,1,COPPER SCRAP,KG,566.00,7,0,0,0,0,0,566
,,, Value,,,0.00,0.00,0.00,0.00,0.00,198100.00
RAW MATERIAL - CU - CENTRAL,1,COPPER WIRE / ROD (CENTRAL),KG,37440.00,9,0,0,0,0,0,37440
,,, Value,,,0.00,0.00,0.00,0.00,0.00,14733849.03
PACKING MATERIAL,1,"CORRUGATED BOX PT- 4, 11.50",PCS,665.00,11,0,0,0,0,0,665
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
PACKING MATERIAL,2,"CORRUGATED BOX PT- 45, 10.50",PCS,280.00,11,0,0,0,0,0,280
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
PACKING MATERIAL,3,"CORRUGATED BOX PT-15, 16.50*8.",PCS,285.00,11,0,0,0,0,0,285
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
SPARE AND CONSUMABLE,1,BASE COAT THINNER,KG,85.00,11,0,0,0,0,0,85
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
SPARE AND CONSUMABLE,2,CLEANING THINNER,KG,710.00,11,0,0,0,0,0,710
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
SPARE AND CONSUMABLE,3,LUBECKAN W-25,L,600.00,11,0,0,0,0,0,600
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
SPARE AND CONSUMABLE,4,"REDUCER ( MTO, BENZENE )",L,2215.00,11,0,0,0,0,0,2215
,,, Value,,,0.00,0.00,0.00,0.00,0.00,0.00
