Invoice No,Invoice Date,Supplier Name,Receipt No.,Bill No.,Bill Date,D.N. No.,D.N. Date,Currency,Item Description,Unit,Quantity,Gross Amount,Discount,Central Sales Tax Payable - 2.00%,Cst Purchase @1%,Cst Purchase @2%,Excise On Purchase 12.50%,Excise On Purchase @14%,Input Vat - 12.50% Up,Input Vat - 4.00% Up,Input Vat Additional - 1.50% ,Input Vat Additional. - 1% Up,
PB0000112,06-05-2015,Hindalco,RCPT0000000051,DGH/15000294,04-05-2015,DGH/15000294,04-05-2015,INR,COPPER WIRE / ROD,KG,5975.00,2515708.02,2987.50,0.00,0.00,0.00,314464.00,0.00,0.00,113207.00,0.00,28302.00,0.00
PB0000113,06-05-2015,Hindalco,RCPT0000000052,DGH/15000295,04-05-2015,DGH/15000295,04-05-2015,INR,COPPER WIRE / ROD,KG,5999.00,2525812.96,2999.50,0.00,0.00,0.00,315727.00,0.00,0.00,113662.00,0.00,28415.00,0.00
PB0000114,06-05-2015,Hindalco,RCPT0000000053,DGH/15000305,05-05-2015,DGH/15000305,05-05-2015,INR,COPPER WIRE / ROD,KG,3003.00,1264380.12,1501.50,0.00,0.00,0.00,158048.00,0.00,0.00,56897.00,0.00,14224.00,0.00
PB0000115,06-05-2015,Hindalco,RCPT0000000054,DGH/15000306,05-05-2015,DGH/15000306,05-05-2015,INR,COPPER WIRE / ROD,KG,2993.00,1260169.73,1496.50,0.00,0.00,0.00,157521.00,0.00,0.00,56708.00,0.00,14177.00,0.00
PB0000116,06-05-2015,Hindalco,RCPT0000000055,DGH/15000307,05-05-2015,DGH/15000307,05-05-2015,INR,COPPER WIRE / ROD,KG,3007.00,1266064.27,1503.50,0.00,0.00,0.00,158258.00,0.00,0.00,56973.00,0.00,14243.00,0.00
PB0000117,06-05-2015,Hindalco,RCPT0000000056,DGH/15000308,05-05-2015,DGH/15000308,05-05-2015,INR,COPPER WIRE / ROD,KG,3018.00,1270695.70,1509.00,0.00,0.00,0.00,158837.00,0.00,0.00,57181.00,0.00,14295.00,0.00
PB0000118,06-05-2015,Hindalco,RCPT0000000023,DCR/15000733,05-05-2015,DCR/15000733,06-05-2015,INR,COPPER WIRE / ROD,KG,8955.00,3770404.24,0.00,0.00,42417.00,0.00,471301.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000119,06-05-2015,Hindalco,RCPT0000000024,DCR/15000734,05-05-2015,DCR/15000734,05-05-2015,INR,COPPER WIRE / ROD,KG,2980.00,1254696.22,0.00,0.00,14115.00,0.00,156837.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000128,08-05-2015,Scientific Agencies Pvt. Ltd,RCPT0000000018,107,29-04-2015,107,01-05-2015,INR,WAX PARAFIN,KG,4.00,3264.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000129,07-05-2015,Arvind Bearing & Mill Store,RCPT0000000019,314,01-05-2015,314,01-05-2015,INR,BEARING - 6900ZZ,PCS,6.00,781.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,8.00,0.00
PB0000130,07-05-2015,NALWA TRADING AGENCIES,,006,02-05-2015,,,INR,MS PIPE FITTINGS,PCS,1.00,3370.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000131,07-05-2015,SSK CHEMICALS PVT. LTD.,RCPT0000000030,51,02-05-2015,51,03-05-2015,INR,VAR-HIGH SPEED,KG,4200.00,378000.00,0.00,0.00,0.00,8505.00,47250.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000132,08-05-2015,Fuming Beverages,,MRN-299/04/05/15 ,04-05-2015,,,INR,TEA & COFFEE,KG,32.00,6080.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000133,08-05-2015,BANSAL MACHINERY STORE,,MRN 300 BILL NO 82/ ,04-05-2015,,,INR,"ELFY , EPOXY, ARALDITE ETC.",PCS,1.00,1990.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00,20.00,0.00
PB0000134,08-05-2015,BRM ENTERPRISES,RCPT0000000020,1271,02-05-2015,MRN-301,04-05-2015,INR,PHENOPHTHELENE  SOLU. 8.3- 10,ML,6.00,945.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000135,08-05-2015,MYKODA AUTO INDUSTRIES (REGD.),RCPT0000000021,277,02-05-2015,MRN-302,04-05-2015,INR,OIL SEAL  30X47X7X10,PCS,10.00,2400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.00,0.00,24.00,0.00
,,,,,,,,,OIL SEAL  32X52X7X10,PCS,10.00,2800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112.00,0.00,28.00,0.00
,,,,,,,,,OIL SEAL  50X72X7-8 ( MAG ),PCS,10.00,3900.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,156.00,0.00,39.00,0.00
PB0000136,08-05-2015,MYKODA AUTO INDUSTRIES (REGD.),,,,,,INR,MISC. OIL SEALS,PCS,48.00,2616.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,105.00,0.00,26.00,0.00
PB0000137,09-05-2015,MAHESH PAINTS & HARDWARE STORE,,MRN-307 /04/05/15 BILL ,04-05-2015,,,INR,R&M BUILDING,PC,3.00,510.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,5.00,0.00
PB0000138,09-05-2015,MEGA CARBON PRODUCTS PVT. LTD.,,MRN-308/04/0515 ,01-05-2015,,,INR,BRUSH,PCS,16.00,8560.00,0.00,0.00,86.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000139,09-05-2015,S.S.Packaging,RCPT0000000081,107,04-05-2015,MRN-309,04-05-2015,INR,STRECH FILM,KG,122.80,17806.00,0.00,0.00,0.00,0.00,2226.00,0.00,0.00,801.00,0.00,200.00,0.00
