Voucher Id,Invoice ,Invoice ,Supplier Name,Receipt No.,Bill No.,Bill Date,D.N. No.,D.N. Date,Currenc,Group,Item Description,Unit,Quantity,Gross Amount,Discount,Additional Custom ,Basic Custom Duty,Basic Custom Duty ,Basic Custom Duty ,Central Sales Tax ,Cst Purchase @1%,Cst Purchase @2%,Cvd,Ec On Purchase ,Excise On ,Excise On ,Excise On ,Hec On Purchase ,Input Vat - 12.50% ,Input Vat - 4.00% ,Input Vat ,Input Vat ,
PB000002,PB0000001,03-04-2015,Union Copper Rod LLC,RCPT0000000001,16422,01-04-2015,,01-04-2015,USD,RAW MATERIAL,COPPER WIRE / ROD (CENTRAL),KG,25083.00,153206.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000009,PB0000003,04-04-2015,Bharat Box Company,RCPT0000000052,004,03-04-2015,,,INR,CORRUGATED BOXES,"CORRUGATED BOX-PT10-14.75""X7.5""X9.5""",PCS,1103.00,27575.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1103.00,0.00,276.00,0.00
PB000010,PB0000006,06-04-2015,BON LON STEELS PVT. LTD.,RCPT0000000002,003,04-04-2015,,05-04-2015,INR,RAW MATERIAL,COPPER WIRE / ROD (CENTRAL),KG,12357.00,5214654.00,0.00,0.00,0.00,0.00,0.00,0.00,58665.00,0.00,0.00,0.00,0.00,651832.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000011,PB0000004,06-04-2015,ELANTAS Beck India Ltd.,RCPT0000000018,10497,04-04-2015,,04-04-2015,INR,H CLASS,TEREBEC MT 543-38,KG,3150.00,607950.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13679.00,0.00,0.00,0.00,75994.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000018,PB0000007,06-04-2015,VIKAS SPOOL PVT. LTD. (SUPPLIER),RCPT0000000053,27,04-04-2015,,05-04-2015,INR,PLASTIC SPOOL,PLAS SPOOL PT-180 / PT-200,PCS,64.00,99200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2232.00,0.00,0.00,0.00,12400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000020,PB0000011,07-04-2015,Hindalco,RCPT0000000004,DGH/15000003,06-04-2015,,06-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,5990.00,2497830.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,312229.00,0.00,0.00,0.00,112402.00,0.00,28101.00,0.00
PB000021,PB0000009,07-04-2015,Hindalco,RCPT0000000002,DGH/15000001,06-04-2015,,06-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,6003.00,2503251.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,312906.00,0.00,0.00,0.00,112646.00,0.00,28162.00,0.00
PB000029,PB0000046,15-04-2015,Hindalco,RCPT0000000024,DGH/15000076,14-04-2015,,14-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,2970.00,1238490.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,154811.00,0.00,0.00,0.00,55732.00,0.00,13933.00,0.00
PB000030,PB0000045,15-04-2015,Hindalco,RCPT0000000023,DGH/15000075,14-04-2015,,14-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,2974.00,1240158.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155020.00,0.00,0.00,0.00,55807.00,0.00,13952.00,0.00
PB000031,PB0000052,16-04-2015,Hindalco,RCPT0000000029,DGH/15000086,15-04-2015,,15-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,2125.00,886125.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110766.00,0.00,0.00,0.00,39876.00,0.00,9969.00,0.00
