Invoice No,Invoice Date,Supplier Name,Receipt No.,Bill No.,Bill Date,D.N. No.,D.N. Date,Currency,Item Description,Unit,Quantity,Gross Amount,Discount,Additional Custom Duty,Basic Custom Duty,Cst Purchase @1%,Cst Purchase @2%,Cvd,Ec On Purchase @2%,Excise On Purchase -6.00%,Excise On Purchase 12.50%,Excise On Purchase @14%,Hec On Purchase @1%,Input Vat - 12.50% Up,Input Vat - 4.00% Up,Input Vat Additional - 1.50% ,Input Vat Additional. - 1% Up,,Net Amount
PB0000398,09-06-2015,SAI AUTOMATION,,MRN-608/412,30-05-2015,,,INR,ELECTRICAL-MISC,PCS,1.00,3707.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3707.00
PB0000399,09-06-2015,MYKODA AUTO INDUSTRIES (REGD.),,MRN-609/13919,01-06-2015,,,INR,MISC. OIL SEALS,PCS,45.00,2049.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.00,0.00,20.00,0.00,2151.75
PB0000400,09-06-2015,UNITED TRADERS,,MRN-610/13309,01-06-2015,,,INR,PACKING EQUIPMENTS,PCS,1.00,1628.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1628.00
PB0000401,09-06-2015,HPT AND COMPANY,,MRN-611/1351,01-06-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,4589.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4589.00
PB0000402,09-06-2015,SSK CHEMICALS PVT. LTD.,RCPT0000000035,088,02-06-2015,MRN-622,03-06-2015,INR,SSK 2543,KG,420.00,75600.00,0.00,0.00,0.00,0.00,1701.00,0.00,0.00,0.00,9450.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86751.00
,,,,,,,,,SSK 4001,KG,420.00,39060.00,0.00,0.00,0.00,0.00,879.00,0.00,0.00,0.00,4883.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44822.00
PB0000403,09-06-2015,Hindalco,RCPT0000000040,DCR/15001486,03-06-2015,MRN-633,04-06-2015,INR,COPPER WIRE / ROD,KG,2996.00,1279292.00,0.00,0.00,0.00,14392.00,0.00,0.00,0.00,0.00,159912.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1453596.00
PB0000404,09-06-2015,Hindalco,RCPT0000000041,DCR/15001487,03-06-2015,MRN-634,04-06-2015,INR,COPPER WIRE / ROD,KG,6004.00,2563708.00,0.00,0.00,0.00,28842.00,0.00,0.00,0.00,0.00,320464.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2913014.00
PB0000405,09-06-2015,N.K. Joy & Co.,RCPT0000000051,15,03-06-2015,MRN-635,04-06-2015,INR,BEARING - 3308,PCS,4.00,9600.00,0.00,0.00,0.00,0.00,192.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9792.00
,,,,,,,,,BEARING - 6001 2Z,PCS,10.00,1100.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1122.00
