Invoice No,Invoice Date,Supplier Name,Item Description,Unit,Quantity,Currency,Gross Amount,Discount,,CST PURCHASE @1%,CST PURCHASE @2%,EXCISE ON PURCHASE 12.50%,INPUT VAT ADDITIONAL. - 1% ,INPUT VAT - 4.00% UP,EXCISE ON PURCHASE 12.50%,Net Amount,,,265588.32,,
PB0000001,03-04-2015,Union Copper Rod LLC,COPPER WIRE / ROD (CENTRAL),KG,25083,US DOLLAR,153206.96,0,0,0,0,0,0,0,0,153206.96,,153206.96,25083,153206.96,
PB0000003,04-04-2015,Bharat Box Company,"CORRUGATED BOX-PT10-14.75""X7.5""X9.5""",PCS,1103,INDIAN RUPEE,27575,0,0,0,0,0,276,1103,0,28954,,2499298.41,5956,2497495.31,
PB0000004,06-04-2015,ELANTAS Beck India Ltd.,TEREBEC MT 543-38,KG,3150,INDIAN RUPEE,607950,0,0,0,13679,75994,0,0,75994,697623,,560571.6,12000,560571.6,
PB0000006,06-04-2015,BON LON STEELS PVT. LTD.,COPPER WIRE / ROD (CENTRAL),KG,12357,INDIAN RUPEE,5214654,0,0,58665,0,651832,0,0,651832,5925151,,11825.5,706,12416.5,
PB0000007,06-04-2015,Vikas Spool PVt. Ltd,PLAS SPOOL PT-180 / PT-200,PCS,64,INDIAN RUPEE,99200,0,0,0,2232,12400,0,0,12400,113832,,3224902.47,43745,3223690.37,
PB0000009,07-04-2015,Hindalco,COPPER WIRE / ROD,KG,6003,INDIAN RUPEE,2503251,0,0,0,0,312906,28162,112646,312906,2956965,,,113333,,
PB0000011,07-04-2015,Hindalco,COPPER WIRE / ROD,KG,5990,INDIAN RUPEE,2497830,0,0,0,0,312229,28101,112402,312229,2950562,,,,,
PB0000012,08-04-2015,S.S.Packaging,STRECH FILM,KG,129.8,INDIAN RUPEE,18821,0,0,0,0,2353,212,847,2353,22233,,,,,
PB0000013,08-04-2015,Micro Inks Limited,TOP COAT THINNER,KG,180,INDIAN RUPEE,39960,0,0,0,899,4995,0,0,4995,45854,,118558640.41,265588.32,,
PB0000014,08-04-2015,Hindalco,COPPER WIRE / ROD,KG,5976,INDIAN RUPEE,2491992,0,0,0,0,311499,28035,112140,311499,2943666,,3223690.37,43745,,
PB0000015,08-04-2015,Hindalco,COPPER WIRE / ROD,KG,6041,INDIAN RUPEE,2519097,0,0,0,0,314887,28340,113359,314887,2975683,,115347366.53,309333.32,,
PB0000016,08-04-2015,Delhi Sales Corporation,"IRON PATTI-1/2"" & NAILS",KG,121.42,INDIAN RUPEE,7770.88,0,0,0,0,0,78,311,0,8159.88,8559.88,118571056.9,,,
PB0000017,08-04-2015,Hindalco,COPPER WIRE / ROD,KG,6060,INDIAN RUPEE,2527020,0,0,0,0,315878,28429,113716,315878,2985043,,,,,
PB0000018,10-04-2015,ELANTAS Beck India Ltd.,TEREBEC MT 543-38,KG,4200,INDIAN RUPEE,810600,0,0,0,18239,101325,0,0,101325,930164,,,,,5576
PB0000019,10-04-2015,Hindalco,COPPER WIRE / ROD (CENTRAL),KG,6120,INDIAN RUPEE,2525216.04,0,0,28409,0,315652,0,0,315652,2869277.04,,,,,22125
PB0000021,11-04-2015,Hindalco,COPPER WIRE / ROD,KG,5914,INDIAN RUPEE,2466138,0,0,0,0,308267,27744,110976,308267,2913125,,,,,774
PB0000022,13-04-2015,Hindalco,COPPER WIRE / ROD,KG,5956,INDIAN RUPEE,2499298.41,1803.1,0,0,0,0,0,0,0,2497495.31,2839828.31,,,,6969
PB0000023,13-04-2015,Wirex Dies & Steel (I) Pvt. Ltd.,COOLANT FOR COPPER FWD,L,615,INDIAN RUPEE,135300,0,0,0,2570,14277,0,0,14277,152147,520782,,,,
,,,COOLANT FOR COPPER RBD,L,1640,INDIAN RUPEE,328000,0,0,0,5941,33003,0,0,33003,366944,,,,,
PB0000024,13-04-2015,Hindalco,COPPER WIRE / ROD (CENTRAL),KG,9007,INDIAN RUPEE,3755919,0,0,42254,0,469490,0,0,469490,4267663,,,,,
