Invoice No,Invoice Date,Supplier Name,Receipt No.,Bill No.,Bill Date,D.N. No.,D.N. Date,Currency,Item Description,Unit,Quantity,Gross Amount,Discount,,Central Sales Tax Payable - 2.00%,Cst Purchase @1%,Cst Purchase @2%,Excise On Purchase 12.50%,Input Vat - 12.50% Up,Input Vat - 4.00% Up,Input Vat Additional - 1.50% ,Input Vat Additional. - 1% Up,Narration,Net Amount
PB0000001,03-04-2015,Union Copper Rod LLC,RCPT0000000001,16422,01-04-2015,,01-04-2015,USD,COPPER WIRE / ROD (CENTRAL),KG,25083.00,153206.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153206.96
PB0000002,04-04-2015,Bharat Box Company,RCPT0000000051,001,02-04-2015,,,INR,"CORRUGATED BOX - PT-25- 9.25X 9.25X 11.25"" 3PLY",PCS,2482.00,27302.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1092.00,0.00,273.00,0.00,28667.00
,,,,,,,,,"CORRUGATED BOX-PT10-14.75""X7.5""X9.5""",PCS,300.00,7500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00,75.00,0.00,7875.00
PB0000003,04-04-2015,Bharat Box Company,RCPT0000000052,004,03-04-2015,,,INR,"CORRUGATED BOX-PT10-14.75""X7.5""X9.5""",PCS,1103.00,27575.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1103.00,0.00,276.00,0.00,28954.00
PB0000004,06-04-2015,ELANTAS Beck India Ltd.,RCPT0000000018,10497,04-04-2015,,04-04-2015,INR,TEREBEC MT 543-38,KG,3150.00,607950.00,0.00,0.00,0.00,0.00,13679.00,75994.00,0.00,0.00,0.00,0.00,0.00,697623.00
PB0000005,06-04-2015,ELANTAS Beck India Ltd.,RCPT0000000019,10670,04-04-2015,,04-04-2015,INR,AI-BV1013,KG,1470.00,380730.00,0.00,0.00,0.00,0.00,8566.00,47591.00,0.00,0.00,0.00,0.00,0.00,436887.00
PB0000006,06-04-2015,BON LON STEELS PVT. LTD.,RCPT0000000002,003,04-04-2015,,05-04-2015,INR,COPPER WIRE / ROD (CENTRAL),KG,12357.00,5214654.00,0.00,0.00,0.00,58665.00,0.00,651832.00,0.00,0.00,0.00,0.00,0.00,5925151.00
PB0000007,06-04-2015,Vikas Spool PVt. Ltd,RCPT0000000053,27,04-04-2015,,05-04-2015,INR,PLAS SPOOL PT-180 / PT-200,PCS,64.00,99200.00,0.00,0.00,0.00,0.00,2232.00,12400.00,0.00,0.00,0.00,0.00,0.00,113832.00
PB0000008,06-04-2015,Vikas Spool PVt. Ltd,RCPT0000000054,28,04-04-2015,,05-04-2015,INR,PLAS SPOOL PT- 90,PCS,200.00,40000.00,0.00,0.00,0.00,0.00,900.00,5000.00,0.00,0.00,0.00,0.00,0.00,45900.00
PB0000009,07-04-2015,Hindalco,RCPT0000000002,DGH/15000001,06-04-2015,,06-04-2015,INR,COPPER WIRE / ROD,KG,6003.00,2503251.00,0.00,0.00,0.00,0.00,0.00,312906.00,0.00,112646.00,0.00,28162.00,0.00,2956965.00
PB0000010,07-04-2015,Hindalco,RCPT0000000003,DGH/15000002,06-04-2015,,06-04-2015,INR,COPPER WIRE / ROD,KG,5972.00,2490324.00,0.00,0.00,0.00,0.00,0.00,311291.00,0.00,112065.00,0.00,28016.00,0.00,2941696.00
PB0000011,07-04-2015,Hindalco,RCPT0000000004,DGH/15000003,06-04-2015,,06-04-2015,INR,COPPER WIRE / ROD,KG,5990.00,2497830.00,0.00,0.00,0.00,0.00,0.00,312229.00,0.00,112402.00,0.00,28101.00,0.00,2950562.00
PB0000012,08-04-2015,S.S.Packaging,RCPT0000000055,19,06-04-2015,,06-04-2015,INR,STRECH FILM,KG,129.80,18821.00,0.00,0.00,0.00,0.00,0.00,2353.00,0.00,847.00,0.00,212.00,0.00,22233.00
PB0000013,08-04-2015,Micro Inks Limited,RCPT0000000009,40945,07-04-2015,,07-04-2015,INR,TOP COAT THINNER,KG,180.00,39960.00,0.00,0.00,0.00,0.00,899.00,4995.00,0.00,0.00,0.00,0.00,0.00,45854.00
PB0000014,08-04-2015,Hindalco,RCPT0000000005,DGH/15000014,07-04-2015,,07-04-2015,INR,COPPER WIRE / ROD,KG,5976.00,2491992.00,0.00,0.00,0.00,0.00,0.00,311499.00,0.00,112140.00,0.00,28035.00,0.00,2943666.00
PB0000015,08-04-2015,Hindalco,RCPT0000000006,DGH/15000015,07-04-2015,,07-04-2015,INR,COPPER WIRE / ROD,KG,6041.00,2519097.00,0.00,0.00,0.00,0.00,0.00,314887.00,0.00,113359.00,0.00,28340.00,0.00,2975683.00
PB0000016,08-04-2015,Delhi Sales Corporation,RCPT0000000056,17,07-04-2015,,07-04-2015,INR,"IRON PATTI-1/2"" & NAILS",KG,121.42,7770.88,0.00,400.00,0.00,0.00,0.00,0.00,0.00,311.00,0.00,78.00,0.00,8559.88
PB0000017,08-04-2015,Hindalco,RCPT0000000007,DGH/15000016,07-04-2015,,07-04-2015,INR,COPPER WIRE / ROD,KG,6060.00,2527020.00,0.00,0.00,0.00,0.00,0.00,315878.00,0.00,113716.00,0.00,28429.00,0.00,2985043.00
PB0000018,10-04-2015,ELANTAS Beck India Ltd.,RCPT0000000020,10601,09-04-2015,,09-04-2015,INR,TEREBEC MT 543-38,KG,4200.00,810600.00,0.00,0.00,0.00,0.00,18239.00,101325.00,0.00,0.00,0.00,0.00,0.00,930164.00
PB0000019,10-04-2015,Hindalco,RCPT0000000004,DCR/15000024,07-04-2015,,08-04-2015,INR,COPPER WIRE / ROD (CENTRAL),KG,6120.00,2525216.04,0.00,0.00,0.00,28409.00,0.00,315652.00,0.00,0.00,0.00,0.00,0.00,2869277.04
PB0000020,10-04-2015,Bharat Box Company,RCPT0000000057,008,08-04-2015,,08-04-2015,INR,"CORRUGATED BOX PT- 45, 10.50X10.50X16.50- 3 PLY",PCS,500.00,7250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,290.00,0.00,73.00,0.00,7613.00
,,,,,,,,,WRAPPER-PT- 45- 330 MM,KG,388.00,15132.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,605.00,0.00,151.00,0.00,15888.00
PB0000021,11-04-2015,Hindalco,RCPT0000000008,DGH/15000037,09-04-2015,,09-04-2015,INR,COPPER WIRE / ROD,KG,5914.00,2466138.00,0.00,0.00,0.00,0.00,0.00,308267.00,0.00,110976.00,0.00,27744.00,0.00,2913125.00
PB0000022,13-04-2015,Hindalco,RCPT0000000005,DCR/15000049,08-04-2015,,08-04-2015,INR,COPPER WIRE / ROD,KG,5956.00,2499298.41,1803.10,"1,804.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2839828.31
PB0000023,13-04-2015,Wirex Dies & Steel (I) Pvt. Ltd.,RCPT0000000010,77,09-04-2015,,,INR,COOLANT FOR COPPER FWD,L,615.00,135300.00,0.00,"1,691.00",0.00,0.00,2570.00,14277.00,0.00,0.00,0.00,0.00,0.00,153838.00
,,,,,,,,,COOLANT FOR COPPER RBD,L,1640.00,328000.00,0.00,"1,691.00",0.00,0.00,5941.00,33003.00,0.00,0.00,0.00,0.00,0.00,368635.00
PB0000024,13-04-2015,Hindalco,RCPT0000000006,DCR/15000109,10-04-2015,,,INR,COPPER WIRE / ROD (CENTRAL),KG,9007.00,3755919.00,0.00,0.00,0.00,42254.00,0.00,469490.00,0.00,0.00,0.00,0.00,0.00,4267663.00
PB0000025,13-04-2015,Hindalco,RCPT0000000007,DCR/15000116,10-04-2015,,,INR,COPPER WIRE / ROD (CENTRAL),KG,3002.00,1251834.00,0.00,0.00,0.00,14083.00,0.00,156479.00,0.00,0.00,0.00,0.00,0.00,1422396.00
PB0000026,13-04-2015,Hindalco,RCPT0000000008,DCR/15000147,11-04-2015,,,INR,COPPER WIRE / ROD (CENTRAL),KG,5762.00,2402754.00,0.00,0.00,0.00,27031.00,0.00,300344.00,0.00,0.00,0.00,0.00,0.00,2730129.00
PB0000027,13-04-2015,Hindalco,RCPT0000000009,DGH/15000043,10-04-2015,,,INR,COPPER WIRE / ROD,KG,6034.00,2516178.00,0.00,0.00,0.00,0.00,0.00,314522.00,0.00,113228.00,0.00,28307.00,0.00,2972235.00
PB0000028,14-04-2015,Om Wooden Industries,RCPT0000000058,22 ,10-04-2015,,,INR,PALLET ALL TYPES,PCS,25.00,12375.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,495.00,0.00,124.00,0.00,12994.00
,,,,,,,,,WOODEN PALLET 37*25.50,PCS,15.00,6750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.00,0.00,68.00,0.00,7088.00
,,,,,,,,,WOODEN PALLET 37*37,PCS,25.00,18375.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,735.00,0.00,184.00,0.00,19294.00
,,,,,,,,,WOODEN PALLET 44*33,PCS,15.00,7800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,312.00,0.00,78.00,0.00,8190.00
PB0000029,14-04-2015,Hindalco,RCPT0000000010,DGH/15000021,08-04-2015,,,INR,COPPER WIRE / ROD,KG,1090.00,457393.43,545.11,0.00,0.00,0.00,0.00,57174.00,0.00,20583.00,0.00,5146.00,0.00,539751.32
PB0000030,14-04-2015,Hindalco,RCPT0000000011,DGH/15000022,08-04-2015,,,INR,COPPER WIRE / ROD,KG,2355.00,988221.58,1177.73,0.00,0.00,0.00,0.00,123528.00,0.00,44470.00,0.00,11117.00,0.00,1166158.85
PB0000031,14-04-2015,Hindalco,RCPT0000000012,DGH/15000044,10-04-2015,,10-04-2015,INR,COPPER WIRE / ROD,KG,2992.00,1247664.00,0.00,0.00,0.00,0.00,0.00,155958.00,0.00,56145.00,0.00,14036.00,0.00,1473803.00
PB0000032,14-04-2015,Hindalco,RCPT0000000014,DGH/15000023,08-04-2015,,,INR,COPPER WIRE / ROD,KG,2725.00,1143483.58,1362.77,0.00,0.00,0.00,0.00,142935.00,0.00,51457.00,0.00,12864.00,0.00,1349376.81
PB0000033,14-04-2015,Hindalco,RCPT0000000013,DGH/15000045,10-04-2015,,10-04-2015,INR,COPPER WIRE / ROD,KG,2981.00,1243077.00,0.00,0.00,0.00,0.00,0.00,155385.00,0.00,55938.00,0.00,13985.00,0.00,1468385.00
PB0000034,14-04-2015,Hindalco,RCPT0000000015,DGH/15000024,08-04-2015,,,INR,COPPER WIRE / ROD,KG,2963.00,1243354.80,1481.79,0.00,0.00,0.00,0.00,155419.00,0.00,55951.00,0.00,13988.00,0.00,1467231.01
PB0000035,14-04-2015,Vikas Spool PVt. Ltd,RCPT0000000059,77,10-04-2015,,11-04-2015,INR,PLAS SPOOL PT-(1-2)/ 130MM,PCS,1000.00,7750.00,0.00,0.00,0.00,0.00,174.00,969.00,0.00,0.00,0.00,0.00,0.00,8893.00
