,,,,,G.K. WINDING WIRES LTD,,,,,,,,,,,,,,,
,,,,,,,,,,Purchase Invoice - Supplier Wise,,,,,,,,,,
,,,,,,,,,,,,,,,01-05-2015,,,,31-03-2016,
,,,,,,,,,,,,,Period :,,,,,To,,
,,,,,,,,,,,Supplier Name,,:,All Suppliers,,,,,,
,Organisation:G.K. WINDING WIRES LTD,,,,,,,,,,,,,,,,,,,
Supplier Name,,Currency ,Unit,Quantity,,Gross Amount(Specific),Discount,Tax (Specific),Other Charges (Specific),,,Net Amount(Specific),,,,,Net Amount (Base),,,
A-One Mineral Water Industry,,INR,L,133500.00,,24030.00,0.00,3364.00,0.00,,,"27,394.00",,,,,"27,394.00",,,
AGGARWAL SANITARY & HARDWARE STORE,,INR,KG,2.00,,6092.00,0.00,1201.00,400.00,,,"7,693.00",,,,,"7,693.00",,,
AMIT MOTORS & MACINERY STORE,,INR,PCS,2.00,,3900.00,0.00,195.00,0.00,,,"4,095.00",,,,,"4,095.00",,,
Aditi Printers,,INR,PCS,1.00,,4100.00,0.00,0.00,0.00,,,"4,100.00",,,,,"4,100.00",,,
Arvind Bearing & Mill Store,,INR,KG,1.00,,1150.00,0.00,161.00,0.00,,,"1,311.00",,,,,"1,311.00",,,
Arvind Bearing & Mill Store,,INR,PCS,61.00,,39317.00,0.00,1967.00,0.00,,,"41,284.00",,,,,"41,284.00",,,
Autonix Auto Industries Pvt. Ltd,,INR,PCS,35.00,,60801.00,0.00,11439.73,90.00,,,"72,330.73",,,,,"72,330.73",,,
BANSAL MACHINERY STORE,,INR,M,1.00,,750.00,0.00,38.00,0.00,,,788.00,,,,,788.00,,,
BANSAL MACHINERY STORE,,INR,PCS,2.00,,,0.00,175.00,100.00,,,,,,,,,,,
BRM ENTERPRISES,,INR,ML,10.00,,2499.00,0.00,0.00,0.00,,,"2,499.00",,,,,"2,499.00",,,
Bajaj Stationers,,INR,PCS,1.00,,9550.00,0.00,0.00,0.00,,,"9,550.00",,,,,"9,550.00",,,
Bharat Box Company,,INR,KG,1003.00,,42932.00,0.00,2147.00,0.00,,,"45,079.00",,,,,"45,079.00",,,
Bharat Box Company,,INR,PCS,12430.00,,211306.50,0.00,10566.00,0.00,,,"221,872.50",,,,,"221,872.50",,,
CHETAN ENTERPRISES,,INR,KG,85.56,,13005.12,0.00,260.00,0.00,,,"13,265.12",,,,,"13,265.12",,,
DEEBA DIES & TOOLS,,INR,PCS,1.00,,8350.00,0.00,167.00,0.00,,,"8,517.00",,,,,"8,517.00",,,
Delhi Sales Corporation,,INR,KG,101.10,,6470.40,0.00,324.00,400.00,,,"7,194.40",,,,,"7,194.40",,,
Dna Power Transmission,,INR,PCS,4.00,,1937.00,0.00,38.00,148.00,,,"2,123.00",,,,,"2,123.00",,,
ELANTAS Beck India Ltd.,,INR,KG,7770.00,,1581930.00,0.00,231068.00,0.00,,,"1,812,998.00",,,,,"1,812,998.00",,,
ELANTAS Beck India Ltd.,,INR,L,720.00,,119520.00,0.00,19458.00,0.00,,,"138,978.00",,,,,"138,978.00",,,
ELCON SYSTEMS PVT. LTD.,,INR,PCS,2.00,,63744.00,0.00,10519.00,0.00,,,"74,263.00",,,,,"74,263.00",,,
Fuming Beverages,,INR,KG,128.00,,12160.00,0.00,0.00,0.00,,,"12,160.00",,,,,"12,160.00",,,
GAC COMPUTERS PVT. LTD.,,INR,PCS,1.00,,5190.00,0.00,104.00,0.00,,,"5,294.00",,,,,"5,294.00",,,
GANPATI TRADERS,,INR,PCS,1.00,,,0.00,6732.00,0.00,,,,,,,,,,,
Ganesh Electricals,,INR,PCS,37.00,,34870.00,0.00,5829.00,800.00,,,"41,499.00",,,,,"41,499.00",,,
HPT AND COMPANY,,INR,KG,1.00,,,0.00,490.00,0.00,,,,,,,,,,,
Hindalco,,INR,KG,512267.00,,134404335.51,113878.50,22742762.00,0.00,,,"157,033,219.01",,,,,"157,033,219.01",,,
Iskon Packaging Wood Works,,INR,PCS,4510.00,,132540.00,0.00,6628.00,0.00,,,"139,168.00",,,,,"139,168.00",,,
J.G. Works,,INR,ML,6.00,,5560.00,0.00,278.00,600.00,,,"6,438.00",,,,,"6,438.00",,,
KAPAHI FURNISHERS,,INR,PCS,4.00,,56000.00,0.00,1120.00,0.00,,,"57,120.00",,,,,"57,120.00",,,
KHUSI ENTERPRISES,,INR,KG,750.00,,,0.00,265.00,0.00,,,,,,,,,,,
LAXMAN SHARMA (SUPPLIERT),,INR,PCS,57.00,,33740.00,0.00,0.00,1000.00,,,"34,740.00",,,,,"34,740.00",,,
MAHESH PAINTS & HARDWARE STORE,,INR,KG,11.00,,1730.00,0.00,327.00,350.00,,,"2,407.00",,,,,"2,407.00",,,
MAHESH PAINTS & HARDWARE STORE,,INR,PC,3.00,,,0.00,25.00,150.00,,,,,,,,,,,
,"08-Jun-2015 , 10.38 AM",,,,,,,,,,,,,,,Page 1 of,,,, 3
,,,,,G.K. WINDING WIRES LTD,,,,,,,,,,,,,,,
,,,,,,,,,,Purchase Invoice - Supplier Wise,,,,,,,,,,
,,,,,,,,,,,,,,,01-05-2015,,,,31-03-2016,
,,,,,,,,,,,,,Period :,,,,,To,,
,,,,,,,,,,,Supplier Name,,:,All Suppliers,,,,,,
,Organisation:G.K. WINDING WIRES LTD,,,,,,,,,,,,,,,,,,,
Supplier Name,,Currency ,Unit,Quantity,,Gross Amount(Specific),Discount,Tax (Specific),Other Charges (Specific),,,Net Amount(Specific),,,,,Net Amount (Base),,,
MEGA CARBON PRODUCTS PVT. LTD.,,INR,PCS,16.00,,,0.00,86.00,300.00,,,,,,,,,,,
MILHARD SALES PVT. LTD.,,INR,PCS,2.00,,,0.00,266.00,0.00,,,,,,,,,,,
MODERN SCIENTIFIC CORPORATION,,INR,KG,1.00,,3970.00,0.00,199.00,0.00,,,"4,169.00",,,,,"4,169.00",,,
MYKODA AUTO INDUSTRIES (REGD.),,INR,PCS,78.00,,9100.00,0.00,586.00,0.00,,,"9,686.00",,,,,"9,686.00",,,
Micro Inks Limited,,INR,KG,540.00,,82080.00,0.00,12108.00,0.00,,,"94,188.00",,,,,"94,188.00",,,
NALWA TRADING AGENCIES,,INR,PCS,1.00,,3370.00,0.00,0.00,0.00,,,"3,370.00",,,,,"3,370.00",,,
NORELL,,INR,PCS,1490.00,,16120.00,0.00,323.00,483.00,,,"16,926.00",,,,,"16,926.00",,,
NTL ELECTRONICS INDIA LTD,,INR,PCS,1436.00,,15682.00,0.00,314.00,320.00,,,"16,316.00",,,,,"16,316.00",,,
Niehoff Of India Pvt Ltd,,INR,PCS,1.00,,18589.00,0.00,2742.00,0.00,,,"21,331.00",,,,,"21,331.00",,,
Om Wooden Industries,,INR,KG,64.00,,1728.00,0.00,242.00,200.00,,,"2,170.00",,,,,"2,170.00",,,
PERFECT PACKERS,,INR,PCS,1.00,,3000.00,0.00,150.00,0.00,,,"3,150.00",,,,,"3,150.00",,,
PINKY GRANITES,,INR,KG,1.00,,58094.00,0.00,8133.00,3300.00,,,"69,527.00",,,,,"69,527.00",,,
Polyspin Filtration (I) Pvt. Ltd,,INR,PCS,100.00,,920.00,0.00,18.00,0.00,,,938.00,,,,,938.00,,,
Pragyan Cooltech Industries,,INR,PCS,1.00,,15200.00,0.00,304.00,0.00,,,"15,504.00",,,,,"15,504.00",,,
RAMESH PAINT & HARDWARE STORE,,INR,KG,2.00,,8720.00,0.00,321.00,0.00,,,"9,041.00",,,,,"9,041.00",,,
RAMESH PAINT & HARDWARE STORE,,INR,PCS,1.00,,,0.00,0.00,600.00,,,,,,,,,,,
Rathi Adhesive Tape (P) Ltd.,,INR,PCS,866.00,,23275.00,0.00,4220.00,0.00,,,"27,495.00",,,,,"27,495.00",,,
S.S.Packaging,,INR,KG,285.60,,41412.00,0.00,7506.00,0.00,,,"48,918.00",,,,,"48,918.00",,,
SHRI BAL JI TIMBER & PLYWOOD,,INR,KG,2.00,,11588.00,0.00,2332.00,300.00,,,"14,220.00",,,,,"14,220.00",,,
SITA ELECTRICALS,,INR,PCS,1.00,,5850.00,0.00,0.00,0.00,,,"5,850.00",,,,,"5,850.00",,,
SSK CHEMICALS PVT. LTD.,,INR,KG,8820.00,,794640.00,0.00,117209.00,0.00,,,"911,849.00",,,,,"911,849.00",,,
Savitri Enterprises,,INR,KG,49.80,,18389.00,0.00,12302.00,1600.00,,,"32,291.00",,,,,"32,291.00",,,
Scientific Agencies Pvt. Ltd,,INR,KG,61.00,,49998.40,0.00,1000.00,0.00,,,"50,998.40",,,,,"50,998.40",,,
Sea Pumps,,INR,PCS,2.00,,57104.00,0.00,8423.00,0.00,,,"65,527.00",,,,,"65,527.00",,,
Sealwell,,INR,KG,26.40,,11013.00,0.00,220.00,916.00,,,"12,149.00",,,,,"12,149.00",,,
Seema Traders,,INR,PCS,2500.00,,9750.00,0.00,0.00,0.00,,,"9,750.00",,,,,"9,750.00",,,
Sesa Sterlite Ltd - Vedanta Aluminium& Power,,INR,KG,4081.00,,646632.00,0.00,94440.00,0.00,,,"741,072.00",,,,,"741,072.00",,,
Shree Shakti International,,INR,PCS,100000.00,,5000.00,0.00,250.00,0.00,,,"5,250.00",,,,,"5,250.00",,,
