S.No.,Order No,Date,Ammend No,Date,Quotation No,Date,Supplier ,Order Qty.,    Amount
1,IPO00005,09-04-2015,0,,,,Navigant Consulting,10.00,140.00
2,PO00058,06-04-2015,0,,,,Navigant Consulting,10.00,100.00
3,IPO00003,03-04-2015,0,,,,Navigant Consulting,20.00,234.72
4,IPO00004,03-04-2015,0,,,,Navigant Consulting,20.00,224.72
5,PO00057,27-03-2015,0,,,,Navigant Consulting,0.00,0.00
6,PO00054,26-03-2015,0,,,,DIGITAL 18 MEDIA LTD,262.00,313106.95
7,PO00055,26-03-2015,0,,,,DIGITAL 18 MEDIA LTD,40.00,220252.00
8,PO00056,26-03-2015,0,,,,DIGITAL 18 MEDIA LTD,10.00,10721.00
9,PO00053,25-03-2015,0,,,,Navigant Consulting,20.00,3068.77
10,PO00051,19-03-2015,0,,,,Navigant Consulting,200.00,2000.00
11,PO00052,19-03-2015,0,,,,Navigant Consulting,204.00,2040.00
12,PO00046,13-03-2015,0,,,,Navigant Consulting,20.00,600000.00
13,PO00048,13-03-2015,0,,,,Navigant Consulting,20.00,20000.00
14,PO00049,13-03-2015,1,13-03-2015,,,Navigant Consulting,10.00,100.00
15,PO00050,13-03-2015,0,,,,Navigant Consulting,10.00,100.00
16,PO00042,27-02-2015,0,,,,007 BOND,40.00,1585790.00
17,PO00043,27-02-2015,0,,,,Unique Process And Engravers,20.00,400.00
18,PO00039,26-02-2015,0,,,,SATYAM COMPUTERS,20.00,2359.00
19,PO00040,26-02-2015,0,,,,A Doctors Pest Control,10.00,1100.00
20,PO00041,26-02-2015,0,,,,Navigant Consulting,20.00,2400.00
21,PO00038,24-02-2015,0,,,,Navigant Consulting,4.00,40.00
22,PO00036,23-02-2015,0,,,,Navigant Consulting,2.00,20.00
23,PO00037,23-02-2015,0,,,,Navigant Consulting,20.00,522080.00
24,PO00035,20-02-2015,1,20-02-2015,,,Navigant Consulting,10.00,90.00
25,PO00034,16-02-2015,0,,,,Navigant Consulting,10.00,101.12
26,PO00032,12-02-2015,0,,QUOT-0021,12-02-2015,Navigant Consulting,20.00,7100.00
27,PO00033,12-02-2015,0,,,,A Doctors Pest Control,10.00,1100.00
28,PO00030,10-02-2015,0,,,,Navigant Consulting,20.00,200.00
29,PO00031,10-02-2015,0,,,,Navigant Consulting,10.00,100.00
30,PO00027,05-02-2015,0,,,,Navigant Consulting,70.00,2700.00
31,PO00028,05-02-2015,0,,,,007 BOND,10.00,100.00
32,PO00029,05-02-2015,0,,,,Navigant Consulting,20.00,200.00
33,PO00023,04-02-2015,0,,,,Navigant Consulting,65.00,2000.00
34,PO00024,04-02-2015,0,,,,Navigant Consulting,65.00,2000.00
35,PO00025,04-02-2015,0,,,,Navigant Consulting,20.00,200.00
36,PO00026,04-02-2015,0,,,,Navigant Consulting,65.00,2000.00
37,PO00021,02-02-2015,0,,,,Navigant Consulting,10.00,100.00
38,PO00022,02-02-2015,0,,,,Navigant Consulting,50.00,500.00
