,,,,,,,,,,,,,,,,,,,G.K. WINDING WIRES LTD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"RG - 1 Daily Stock Account
",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Self Removal Procedure (Rule 10 of C.Ex. 2002)
                     (Rule 11 of C.Ex(2)Cenvat Rule 2002)",,,,,,,
G.K. WINDING WIRES LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,From,30-05-2015,,To,30-06-2015,,
ECC No                         :,,AAACGO177DXM001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Ex.Reg.No.               :,,AAACG0177DXM001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description of Goods. :,,,CU27MPFINEPT-25,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH No.  :,,,85441110,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Opening Balance,,,Quantity Manufactured,Total Cols 2 & 3,Removal From Factory,,,,,,For Other Purpose Room(s),,,Excise Duty,,E.Cess,H. E. Cess,,Closing Balance,,,,Loose (No. of Reels),,Remarks,,,,Sign of Asses - see of Hisagent
,,,,,,On Payment of Duty,,,,Without Payment of Duty,,,,,,,,,,,,,,,,,,,,
,,,,,,For Home Consumption,,"For Export Under
Claim For Rebate ",,For Export Under Bond,To Other Factories or warehouse under Bond,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,In Finished Rooms,,Store,,,,Bill/ Daily prod. Report No.,Bill/ Daily prod. Report Date,,,
,,,,,,Quantity,Value,Quantity,Value,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Purpose,,Quantity,Rate,Amount,,,,,,,,,,,,,,
1,2,,,3,4,5,6,7,8,9,10,11,,12,13,14,15(a),15(b),,16,,17,,18,,19,20,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/15 12:00 AM,0.00,,,,0.00,,,,,,,,,,,,,,,,,0.00,,,,,,,,
Description of Goods. :,,,CU27MPMEDPT-25,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH No.  :,,,85441110,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Opening Balance,,,Quantity Manufactured,Total Cols 2 & 3,Removal From Factory,,,,,,For Other Purpose Room(s),,,Excise Duty,,E.Cess,H. E. Cess,,Closing Balance,,,,Loose (No. of Reels),,Remarks,,,,Sign of Asses - see of Hisagent
,,,,,,On Payment of Duty,,,,Without Payment of Duty,,,,,,,,,,,,,,,,,,,,
,,,,,,For Home Consumption,,"For Export Under
Claim For Rebate ",,For Export Under Bond,To Other Factories or warehouse under Bond,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,In Finished Rooms,,Store,,,,Bill/ Daily prod. Report No.,Bill/ Daily prod. Report Date,,,
,,,,,,Quantity,Value,Quantity,Value,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Purpose,,Quantity,Rate,Amount,,,,,,,,,,,,,,
1,2,,,3,4,5,6,7,8,9,10,11,,12,13,14,15(a),15(b),,16,,17,,18,,19,20,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/15 12:00 AM,18.14,,,,18.14,,,,,,,,,,,,,,,,,18.14,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"For, G.K. WINDING WIRES LTD",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Page 1 of,,, 315,
10/07/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"----------This is a Computer Generated Purchase Invoice----------
Generated By ebizframe10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,G.K. WINDING WIRES LTD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"RG - 1 Daily Stock Account
",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Self Removal Procedure (Rule 10 of C.Ex. 2002)
                     (Rule 11 of C.Ex(2)Cenvat Rule 2002)",,,,,,,
G.K. WINDING WIRES LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,From,30-05-2015,,To,30-06-2015,,
ECC No                         :,,AAACGO177DXM001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Ex.Reg.No.               :,,AAACG0177DXM001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description of Goods. :,,,CU27SSFINEPT-25,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH No.  :,,,85441110,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Opening Balance,,,Quantity Manufactured,Total Cols 2 & 3,Removal From Factory,,,,,,For Other Purpose Room(s),,,Excise Duty,,E.Cess,H. E. Cess,,Closing Balance,,,,Loose (No. of Reels),,Remarks,,,,Sign of Asses - see of Hisagent
,,,,,,On Payment of Duty,,,,Without Payment of Duty,,,,,,,,,,,,,,,,,,,,
,,,,,,For Home Consumption,,"For Export Under
Claim For Rebate ",,For Export Under Bond,To Other Factories or warehouse under Bond,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,In Finished Rooms,,Store,,,,Bill/ Daily prod. Report No.,Bill/ Daily prod. Report Date,,,
,,,,,,Quantity,Value,Quantity,Value,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Purpose,,Quantity,Rate,Amount,,,,,,,,,,,,,,
1,2,,,3,4,5,6,7,8,9,10,11,,12,13,14,15(a),15(b),,16,,17,,18,,19,20,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/15 12:00 AM,0.00,,,,0.00,,,,,,,,,,,,,,,,,0.00,,,,,,,,
Description of Goods. :,,,CU28DCMEDPT-25,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH No.  :,,,85441110,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Opening Balance,,,Quantity Manufactured,Total Cols 2 & 3,Removal From Factory,,,,,,For Other Purpose Room(s),,,Excise Duty,,E.Cess,H. E. Cess,,Closing Balance,,,,Loose (No. of Reels),,Remarks,,,,Sign of Asses - see of Hisagent
,,,,,,On Payment of Duty,,,,Without Payment of Duty,,,,,,,,,,,,,,,,,,,,
,,,,,,For Home Consumption,,"For Export Under
Claim For Rebate ",,For Export Under Bond,To Other Factories or warehouse under Bond,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,In Finished Rooms,,Store,,,,Bill/ Daily prod. Report No.,Bill/ Daily prod. Report Date,,,
,,,,,,Quantity,Value,Quantity,Value,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Purpose,,Quantity,Rate,Amount,,,,,,,,,,,,,,
1,2,,,3,4,5,6,7,8,9,10,11,,12,13,14,15(a),15(b),,16,,17,,18,,19,20,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/15 12:00 AM,0.00,,,,0.00,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"For, G.K. WINDING WIRES LTD",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Page 2 of,,, 315,
10/07/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"----------This is a Computer Generated Purchase Invoice----------
Generated By ebizframe10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,G.K. WINDING WIRES LTD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"RG - 1 Daily Stock Account
",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Self Removal Procedure (Rule 10 of C.Ex. 2002)
                     (Rule 11 of C.Ex(2)Cenvat Rule 2002)",,,,,,,
G.K. WINDING WIRES LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,From,30-05-2015,,To,30-06-2015,,
ECC No                         :,,AAACGO177DXM001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Ex.Reg.No.               :,,AAACG0177DXM001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description of Goods. :,,,CU28MPMEDPT-25,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH No.  :,,,85441110,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Opening Balance,,,Quantity Manufactured,Total Cols 2 & 3,Removal From Factory,,,,,,For Other Purpose Room(s),,,Excise Duty,,E.Cess,H. E. Cess,,Closing Balance,,,,Loose (No. of Reels),,Remarks,,,,Sign of Asses - see of Hisagent
,,,,,,On Payment of Duty,,,,Without Payment of Duty,,,,,,,,,,,,,,,,,,,,
,,,,,,For Home Consumption,,"For Export Under
Claim For Rebate ",,For Export Under Bond,To Other Factories or warehouse under Bond,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,In Finished Rooms,,Store,,,,Bill/ Daily prod. Report No.,Bill/ Daily prod. Report Date,,,
,,,,,,Quantity,Value,Quantity,Value,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Purpose,,Quantity,Rate,Amount,,,,,,,,,,,,,,
1,2,,,3,4,5,6,7,8,9,10,11,,12,13,14,15(a),15(b),,16,,17,,18,,19,20,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
