,,,,,,,,ACME INDUSTRIES LTD.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Receipt Register,,,,,,,,,
,,,,,,,,,,,,,,,,,,01-01-2015,,,,20-04-2015,
Organisation : ACME INDUSTRIES LTD.,,,,,,,,,,,,,,,,,Period :,,,,To,,
 Warehouse No      ,,,,:,WH00001,,,,,,,,,,,,,,,,,,
 Warehouse Name ,,,,:,ESS DELHI WAREHOUSE,,,,,,,,,,,,,,,,,,
Receipt No,,Date,,,,Party Name,,,Type,,,Delivery Note No,,,Date,,,,Total Value,,,,
,RCPT0000000001,,02/01/2015,,,,IT DEPARTMENT,,,REQUIREMENT AREA,,,,,,,,,,390000.00,,,
,RCPT0000000001,,02/01/2015,,,,IT DEPARTMENT,,,REQUIREMENT AREA,,,,,,,,,,900.00,,,
,RCPT0000000002,,13/01/2015,,,,,,,,,,,,,,,,,0.00,,,
,RCPT0000000002,,02/01/2015,,,,FOR SALES,,,REQUIREMENT AREA,,,,,,,,,,980000.00,,,
,RCPT0000000003,,28/01/2015,,,,,,,,,,,,,,,,,0.00,,,
,RCPT0000000003,,02/01/2015,,,,FOR SALES,,,REQUIREMENT AREA,,,,,,,,,,12000.00,,,
,RCPT0000000004,,02/01/2015,,,,Navigant Consulting,,,SUPPLIER,,,,,,,,,,7000.00,,,
,RCPT0000000004,,28/01/2015,,,,,,,,,,,,,,,,,0.00,,,
,RCPT0000000004,,28/01/2015,,,,,,,,,,,,,,,,,0.00,,,
,RCPT0000000005,,02/01/2015,,,,Navigant Consulting,,,SUPPLIER,,,,,,,,,,2800.00,,,
,RCPT0000000005,,02/01/2015,,,,Navigant Consulting,,,SUPPLIER,,,,,,,,,,2800.00,,,
,RCPT0000000005,,30/01/2015,,,,,,,,,,,,,,,,,0.00,,,
,RCPT0000000006,,31/01/2015,,,,,,,,,,,,,,,,,0.00,,,
,RCPT0000000006,,31/01/2015,,,,,,,,,,,,,,,,,0.00,,,
,RCPT0000000006,,02/01/2015,,,,FOR SALES,,,REQUIREMENT AREA,,,,,,,,,,10000.00,,,
,RCPT0000000007,,02/01/2015,,,,Navigant Consulting,,,SUPPLIER,,,,,,,,,,0.00,,,
,RCPT0000000007,,11/02/2015,,,,,,,,,,,,,,,,,0.00,,,
,RCPT0000000007,,02/01/2015,,,,Navigant Consulting,,,SUPPLIER,,,,,,,,,,0.00,,,
,RCPT0000000008,,02/01/2015,,,,Navigant Consulting,,,SUPPLIER,,,,,,,,,,700.00,,,
,RCPT0000000008,,02/01/2015,,,,Navigant Consulting,,,SUPPLIER,,,,,,,,,,700.00,,,
,RCPT0000000008,,18/02/2015,,,,,,,,,,,,,,,,,0.00,,,
,RCPT0000000008,,18/02/2015,,,,,,,,,,,,,,,,,0.00,,,
,RCPT0000000009,,13/03/2015,,,,,,,,,,,,,,,,,0.00,,,
,RCPT0000000009,,02/01/2015,,,,Navigant Consulting,,,SUPPLIER,,,,,,,,,,700.00,,,
,RCPT0000000009,,02/01/2015,,,,Navigant Consulting,,,SUPPLIER,,,,,,,,,,700.00,,,
,RCPT0000000010,,02/01/2015,,,,FOR SALES,,,REQUIREMENT AREA,,,,,,,,,,10000.00,,,
,RCPT0000000011,,02/01/2015,,,,Navigant Consulting,,,SUPPLIER,,,,,,,,,,700.00,,,
,RCPT0000000011,,02/01/2015,,,,Navigant Consulting,,,SUPPLIER,,,,,,,,,,700.00,,,
,RCPT0000000012,,03/01/2015,,,,PRODUCTION DEPT,,,REQUIREMENT AREA,,,,,,,,,,1800.00,,,
,RCPT0000000012,,03/01/2015,,,,PRODUCTION DEPT,,,REQUIREMENT AREA,,,,,,,,,,4800.00,,,
,RCPT0000000013,,03/01/2015,,,,Navigant Consulting,,,SUPPLIER,,,,,,,,,,80.00,,,
"23-Apr-2015 , 10.34 AM",,,,,,,,,,,,,,,,,,,Page 1 of,,,, 17
,,,,,,ACME INDUSTRIES LTD.,,,,,,,,,,,,,,
,,,,,,,,,,,Receipt Register,,,,,,,,,
,,,,,,,,,,,,,,,01-01-2015,,,,20-04-2015,
Organisation : ACME INDUSTRIES LTD.,,,,,,,,,,,,,,Period :,,,,To,,
Receipt No,,Date,,Party Name,,,Type,,Delivery Note No,,,Date,,,,Total Value,,,,
,RCPT0000000013,,03/01/2015,,Navigant Consulting,,,SUPPLIER,,,,,,,,,80.00,,,
,RCPT0000000014,,03/01/2015,,FOR SALES,,,REQUIREMENT AREA,,,,,,,,,1080000.00,,,
,RCPT0000000014,,03/01/2015,,FOR SALES,,,REQUIREMENT AREA,,,,,,,,,1120000.00,,,
,RCPT0000000015,,05/01/2015,,,,,,,,,,,,,,3.00,,,
,RCPT0000000016,,05/01/2015,,PRODUCTION DEPT,,,REQUIREMENT AREA,,,,,,,,,30000.00,,,
,RCPT0000000016,,05/01/2015,,PRODUCTION DEPT,,,REQUIREMENT AREA,,,,,,,,,75000.00,,,
,RCPT0000000017,,06/01/2015,,PRODUCTION DEPT,,,REQUIREMENT AREA,,,,,,,,,20.00,,,
,RCPT0000000018,,06/01/2015,,Navigant Consulting,,,SUPPLIER,,,,,,,,,7000.00,,,
,RCPT0000000019,,06/01/2015,,,,,,,,,,,,,,0.00,,,
,RCPT0000000020,,06/01/2015,,,,,,,,,,,,,,0.00,,,
,RCPT0000000021,,06/01/2015,,,,,,,,,,,,,,0.00,,,
,RCPT0000000022,,06/01/2015,,,,,,,,,,,,,,8.00,,,
,RCPT0000000023,,06/01/2015,,,,,,,,,,,,,,0.00,,,
,RCPT0000000024,,06/01/2015,,,,,,,,,,,,,,0.00,,,
,RCPT0000000025,,06/01/2015,,,,,,,,,,,,,,0.00,,,
,RCPT0000000026,,06/01/2015,,,,,,,,,,,,,,0.00,,,
,RCPT0000000027,,06/01/2015,,,,,,,,,,,,,,6.00,,,
,RCPT0000000028,,06/01/2015,,,,,,,,,,,,,,0.00,,,
,RCPT0000000029,,06/01/2015,,PRODUCTION DEPT,,,REQUIREMENT AREA,,,,,,,,,54000.00,,,
,RCPT0000000030,,06/01/2015,,Navigant Consulting,,,SUPPLIER,,,,,,,,,1400.00,,,
,RCPT0000000030,,06/01/2015,,Navigant Consulting,,,SUPPLIER,,,,,,,,,1400.00,,,
,RCPT0000000031,,06/01/2015,,,,,,,,,,,,,,0.00,,,
,RCPT0000000032,,06/01/2015,,FOR SALES,,,REQUIREMENT AREA,,,,,,,,,4000.00,,,
,RCPT0000000033,,06/01/2015,,FOR SALES,,,REQUIREMENT AREA,,,,,,,,,1000.00,,,
,RCPT0000000034,,06/01/2015,,Navigant Consulting,,,SUPPLIER,,,,,,,,,1400.00,,,
,RCPT0000000034,,06/01/2015,,Navigant Consulting,,,SUPPLIER,,,,,,,,,1400.00,,,
,RCPT0000000035,,06/01/2015,,Navigant Consulting,,,SUPPLIER,,,,,,,,,1400.00,,,
,RCPT0000000035,,06/01/2015,,Navigant Consulting,,,SUPPLIER,,,,,,,,,1400.00,,,
,RCPT0000000036,,06/01/2015,,Navigant Consulting,,,SUPPLIER,,,,,,,,,1400.00,,,
,RCPT0000000036,,06/01/2015,,Navigant Consulting,,,SUPPLIER,,,,,,,,,1400.00,,,
,RCPT0000000037,,06/01/2015,,Navigant Consulting,,,SUPPLIER,,,,,,,,,1400.00,,,
,RCPT0000000037,,06/01/2015,,Navigant Consulting,,,SUPPLIER,,,,,,,,,1400.00,,,
,RCPT0000000038,,07/01/2015,,Navigant Consulting,,,SUPPLIER,,,,,,,,,700.00,,,
"23-Apr-2015 , 10.34 AM",,,,,,,,,,,,,,,,Page 2 of,,,, 17
,,,,,,ACME INDUSTRIES LTD.,,,,,,,,,,,,,,
,,,,,,,,,,,Receipt Register,,,,,,,,,
,,,,,,,,,,,,,,,01-01-2015,,,,20-04-2015,
Organisation : ACME INDUSTRIES LTD.,,,,,,,,,,,,,,Period :,,,,To,,
Receipt No,,Date,,Party Name,,,Type,,Delivery Note No,,,Date,,,,Total Value,,,,
,RCPT0000000038,,07/01/2015,,Navigant Consulting,,,SUPPLIER,,,,,,,,,700.00,,,
,RCPT0000000039,,07/01/2015,,Navigant Consulting,,,SUPPLIER,,,,,,,,,700.00,,,
,RCPT0000000039,,07/01/2015,,Navigant Consulting,,,SUPPLIER,,,,,,,,,700.00,,,
,RCPT0000000039,,07/01/2015,,Navigant Consulting,,,SUPPLIER,,,,,,,,,700.00,,,
,RCPT0000000039,,07/01/2015,,Navigant Consulting,,,SUPPLIER,,,,,,,,,700.00,,,
,RCPT0000000040,,07/01/2015,,Navigant Consulting,,,SUPPLIER,,,,,,,,,700.00,,,
,RCPT0000000040,,07/01/2015,,Navigant Consulting,,,SUPPLIER,,,,,,,,,700.00,,,
,RCPT0000000041,,07/01/2015,,Navigant Consulting,,,SUPPLIER,,,,,,,,,700.00,,,
,RCPT0000000041,,07/01/2015,,Navigant Consulting,,,SUPPLIER,,,,,,,,,700.00,,,
,RCPT0000000042,,07/01/2015,,FOR SALES,,,REQUIREMENT AREA,,,,,,,,,20000.00,,,
,RCPT0000000043,,07/01/2015,,IT DEPARTMENT,,,REQUIREMENT AREA,,,,,,,,,20.00,,,
,RCPT0000000044,,07/01/2015,,IT DEPARTMENT,,,REQUIREMENT AREA,,,,,,,,,20.00,,,
