Receipt No,Receipt Date,  Order No,  Order Date,Warehouse,Item Description,Unit,Delivery Note Qty,Receipt Qty,Reworkable Qty,Rejected Qty,Rate,Value
RCPT0000001316,01/09/2015,FGR001472,01/09/2015,FINISHED GOODS - SEC,CU23.5MPMEDPT-25,KG,0.00,94.32,0.00,0.00,470.00,44332.75
RCPT0000001316,01/09/2015,FGR001472,01/09/2015,FINISHED GOODS - SEC,CU32SSMEDPT-10,KG,0.00,349.51,0.00,0.00,245.00,85629.95
RCPT0000001316,01/09/2015,FGR001472,01/09/2015,FINISHED GOODS - SEC,CU21.5HCMEDPT-25,KG,0.00,103.87,0.00,0.00,475.00,49338.25
RCPT0000001316,01/09/2015,FGR001472,01/09/2015,FINISHED GOODS - SEC,CU38*4SSMEDPT-10,KG,0.00,97.08,0.00,0.00,490.00,47571.65
RCPT0000001316,01/09/2015,FGR001472,01/09/2015,FINISHED GOODS - SEC,CU22HCMEDPT-25,KG,0.00,207.67,0.00,0.00,475.00,98643.25
RCPT0000001316,01/09/2015,FGR001472,01/09/2015,FINISHED GOODS - SEC,CU32MPMEDPT-10,KG,0.00,245.26,0.00,0.00,470.00,115269.85
RCPT0000001317,01/09/2015,FGR001473,01/09/2015,FINISHED GOODS - SEC,CU35.5MPFINEPT-10,KG,0.00,501.40,0.00,0.00,500.00,250697.50
RCPT0000001317,01/09/2015,FGR001473,01/09/2015,FINISHED GOODS - SEC,CU32MPFINEPT-10,KG,0.00,65.00,0.00,0.00,470.00,30550.00
RCPT0000001317,01/09/2015,FGR001473,01/09/2015,FINISHED GOODS - SEC,CU33MPFINEPT-10,KG,0.00,138.20,0.00,0.00,500.00,69102.50
RCPT0000001318,01/09/2015,FGR001476,01/09/2015,FINISHED GOODS - SEC,CU42SSFINEPT-4,KG,0.00,99.30,0.00,0.00,490.00,48657.00
RCPT0000001318,01/09/2015,FGR001476,01/09/2015,FINISHED GOODS - SEC,CU37SSMEDPT-10,KG,0.00,195.64,0.00,0.00,490.00,95866.05
RCPT0000001318,01/09/2015,FGR001476,01/09/2015,FINISHED GOODS - SEC,CU0.15SSFINEPT-10,KG,0.00,102.12,0.00,0.00,490.00,50041.25
RCPT0000001318,01/09/2015,FGR001476,01/09/2015,FINISHED GOODS - SEC,CU35SSMEDPT-10,KG,0.00,203.50,0.00,0.00,490.00,99717.45
RCPT0000001319,01/09/2015,FGR001477,01/09/2015,FINISHED GOODS - SEC,CU0.15*2SSFINEPT-,KG,0.00,14.04,0.00,0.00,500.00,7017.50
RCPT0000001319,01/09/2015,FGR001477,01/09/2015,FINISHED GOODS - SEC,CU0.2SSFINEPT-10,KG,0.00,61.18,0.00,0.00,490.00,29975.75
RCPT0000001319,01/09/2015,FGR001477,01/09/2015,FINISHED GOODS - SEC,CU0.15*3SSFINEPT-,KG,0.00,210.34,0.00,0.00,500.00,105167.50
RCPT0000001320,01/09/2015,FGR001478,01/09/2015,FINISHED GOODS - SEC,CU42SSFINEPT-4,KG,0.00,503.88,0.00,0.00,490.00,246903.65
RCPT0000001321,01/09/2015,FGR001480,01/09/2015,FINISHED GOODS - SEC,CU1.22MCFINEPT-90,KG,0.00,55.82,0.00,0.00,490.00,27354.25
RCPT0000001321,01/09/2015,FGR001480,01/09/2015,FINISHED GOODS - SEC,CU0.57MCFINEPT-45,KG,0.00,211.22,0.00,0.00,490.00,103495.35
RCPT0000001321,01/09/2015,FGR001480,01/09/2015,FINISHED GOODS - SEC,CU0.559DCMEDPT-,KG,0.00,243.95,0.00,0.00,500.00,121975.00
RCPT0000001321,01/09/2015,FGR001480,01/09/2015,FINISHED GOODS - SEC,CU0.55DCFINEPT-45,KG,0.00,366.61,0.00,0.00,480.00,175972.80
RCPT0000001321,01/09/2015,FGR001480,01/09/2015,FINISHED GOODS - SEC,CU0.9DCMEDPT-45,KG,0.00,381.76,0.00,0.00,480.00,183244.80
RCPT0000001321,01/09/2015,FGR001480,01/09/2015,FINISHED GOODS - SEC,CU1.15DCFINEPT-,KG,0.00,151.02,0.00,0.00,480.00,72489.60
RCPT0000001321,01/09/2015,FGR001480,01/09/2015,FINISHED GOODS - SEC,CU0.85DCMEDPT-90,KG,0.00,506.48,0.00,0.00,480.00,243112.80
RCPT0000001321,01/09/2015,FGR001480,01/09/2015,FINISHED GOODS - SEC,CU0.58DCMEDPT-90,KG,0.00,249.83,0.00,0.00,480.00,119918.40
RCPT0000001321,01/09/2015,FGR001480,01/09/2015,FINISHED GOODS - SEC,CU0.55MCFINEPT-45,KG,0.00,91.78,0.00,0.00,230.00,21109.40
RCPT0000001321,01/09/2015,FGR001480,01/09/2015,FINISHED GOODS - SEC,CU0.6DCFINEPT-45,KG,0.00,389.46,0.00,0.00,480.00,186943.20
RCPT0000001321,01/09/2015,FGR001480,01/09/2015,FINISHED GOODS - SEC,CU0.95DCMEDPT-90,KG,0.00,166.51,0.00,0.00,480.00,79924.80
RCPT0000001321,01/09/2015,FGR001480,01/09/2015,FINISHED GOODS - SEC,CU0.55DCFINEPT-90,KG,0.00,162.32,0.00,0.00,480.00,77916.00
RCPT0000001321,01/09/2015,FGR001480,01/09/2015,FINISHED GOODS - SEC,CU0.9DCMEDPT-90,KG,0.00,170.55,0.00,0.00,480.00,81864.00
RCPT0000001322,01/09/2015,FGR001481,01/09/2015,FINISHED GOODS - SEC,CU1.15DCFINEPT-,KG,0.00,561.66,0.00,0.00,480.00,269596.80
RCPT0000001323,01/09/2015,FGR001482,01/09/2015,FINISHED GOODS - SEC,CU36SSMEDPT-10,KG,0.00,626.84,0.00,0.00,490.00,307151.60
RCPT0000001323,01/09/2015,FGR001482,01/09/2015,FINISHED GOODS - SEC,CU31DCMEDPT-25,KG,0.00,18.88,0.00,0.00,460.00,8682.50
RCPT0000001323,01/09/2015,FGR001482,01/09/2015,FINISHED GOODS - SEC,CU41SSFINEPT-4,KG,0.00,408.81,0.00,0.00,490.00,200316.90
RCPT0000001324,01/09/2015,FGR001483,01/09/2015,FINISHED GOODS - SEC,CU36SSMEDPT-10,KG,0.00,155.70,0.00,0.00,490.00,76295.45
RCPT0000001325,02/09/2015,FGR001485,02/09/2015,FINISHED GOODS - SEC,CU1.05DCMEDPT-90,KG,0.00,169.00,0.00,0.00,480.00,81120.00
RCPT0000001328,02/09/2015,FGR001489,02/09/2015,FINISHED GOODS - SEC,CU0.7MPMEDPT-90,KG,0.00,643.42,0.00,0.00,470.00,302405.05
RCPT0000001328,02/09/2015,FGR001489,02/09/2015,FINISHED GOODS - SEC,CU32*2SSMEDPT-10,KG,0.00,44.96,0.00,0.00,490.00,22032.85
RCPT0000001328,02/09/2015,FGR001489,02/09/2015,FINISHED GOODS - SEC,CU36SSMEDPT-10,KG,0.00,9.94,0.00,0.00,490.00,4870.60
RCPT0000001328,02/09/2015,FGR001489,02/09/2015,FINISHED GOODS - SEC,CU0.23SSMEDPT-10,KG,0.00,274.76,0.00,0.00,490.00,134634.85
RCPT0000001328,02/09/2015,FGR001489,02/09/2015,FINISHED GOODS - SEC,CU1.05DCMEDPT-90,KG,0.00,254.32,0.00,0.00,480.00,122076.00
RCPT0000001329,02/09/2015,FGR001490,02/09/2015,FINISHED GOODS - SEC,CU0.7DCMEDPT-90,KG,0.00,988.20,0.00,0.00,480.00,474336.00
RCPT0000001330,02/09/2015,,,FINISHED GOODS - SEC,CU1.25DCMEDM-266,KG,9.11,9.11,0.00,0.00,480.00,4372.80
RCPT0000001331,02/09/2015,FGR001492,02/09/2015,FINISHED GOODS - SEC,CU35SSMEDPT-10,KG,0.00,648.94,0.00,0.00,490.00,317980.60
RCPT0000001331,02/09/2015,FGR001492,02/09/2015,FINISHED GOODS - SEC,CU34SSMEDPT-10,KG,0.00,49.15,0.00,0.00,490.00,24083.50
RCPT0000001331,02/09/2015,FGR001492,02/09/2015,FINISHED GOODS - SEC,CU32SSMEDPT-10,KG,0.00,1166.80,0.00,0.00,245.00,285866.00
RCPT0000001332,02/09/2015,FGR001494,02/09/2015,FINISHED GOODS - SEC,CU22DCMEDPT-25,KG,0.00,2.08,0.00,0.00,500.00,1040.00
RCPT0000001332,02/09/2015,FGR001494,02/09/2015,FINISHED GOODS - SEC,CU19MPMEDM-266,KG,0.00,47.33,0.00,0.00,470.00,22245.10
RCPT0000001332,02/09/2015,FGR001494,02/09/2015,FINISHED GOODS - SEC,CU24MPMEDPT-25,KG,0.00,105.76,0.00,0.00,470.00,49709.55
RCPT0000001332,02/09/2015,FGR001494,02/09/2015,FINISHED GOODS - SEC,CU23MPMEDPT-25,KG,0.00,1.89,0.00,0.00,470.00,888.30
RCPT0000001332,02/09/2015,FGR001494,02/09/2015,FINISHED GOODS - SEC,CU30DCMEDPT-10,KG,0.00,1.84,0.00,0.00,480.00,880.80
RCPT0000001332,02/09/2015,FGR001494,02/09/2015,FINISHED GOODS - SEC,CU33DCMEDPT-10,KG,0.00,1.34,0.00,0.00,480.00,640.80
RCPT0000001332,02/09/2015,FGR001494,02/09/2015,FINISHED GOODS - SEC,CU0.53MPMEDPT-90,KG,0.00,223.30,0.00,0.00,480.00,107181.60
RCPT0000001332,02/09/2015,FGR001494,02/09/2015,FINISHED GOODS - SEC,CU0.55MCFINEPT-45,KG,0.00,1099.88,0.00,0.00,230.00,252973.55
RCPT0000001332,02/09/2015,FGR001494,02/09/2015,FINISHED GOODS - SEC,CU0.7MPMEDPT-90,KG,0.00,216.89,0.00,0.00,470.00,101938.30
RCPT0000001333,02/09/2015,,,FINISHED GOODS - SEC,CU22DCMEDM-266,KG,2.08,2.08,0.00,0.00,500.00,1040.00
RCPT0000001334,03/09/2015,FGR001496,03/09/2015,FINISHED GOODS - SEC,CU35*2SSMEDPT-10,KG,0.00,31.08,0.00,0.00,490.00,15231.65
RCPT0000001334,03/09/2015,FGR001496,03/09/2015,FINISHED GOODS - SEC,CU1.05MCMEDPT-90,KG,0.00,85.00,0.00,0.00,490.00,41650.00
RCPT0000001334,03/09/2015,FGR001496,03/09/2015,FINISHED GOODS - SEC,CU0.22SSMEDPT-10,KG,0.00,196.04,0.00,0.00,490.00,96059.60
RCPT0000001334,03/09/2015,FGR001496,03/09/2015,FINISHED GOODS - SEC,CU38*4SSMEDPT-10,KG,0.00,27.98,0.00,0.00,490.00,13707.75
RCPT0000001335,03/09/2015,FGR001498,03/09/2015,FINISHED GOODS - SEC,CU34.5MPMEDPT-10,KG,0.00,317.44,0.00,0.00,470.00,149196.80
RCPT0000001336,03/09/2015,,,FINISHED GOODS - SEC,CU32*2SSMEDPT-10,KG,23.29,23.29,0.00,0.00,490.00,11412.10
RCPT0000001337,03/09/2015,FGR001500,03/09/2015,FINISHED GOODS - SEC,CU0.7DCMEDPT-90,KG,0.00,717.49,0.00,0.00,480.00,344395.20
RCPT0000001337,03/09/2015,FGR001500,03/09/2015,FINISHED GOODS - SEC,CU0.9DCMEDPT-90,KG,0.00,1025.00,0.00,0.00,480.00,492000.00
RCPT0000001337,03/09/2015,FGR001500,03/09/2015,FINISHED GOODS - SEC,CU1.05MCMEDPT-90,KG,0.00,126.00,0.00,0.00,490.00,61740.00
RCPT0000001337,03/09/2015,FGR001500,03/09/2015,FINISHED GOODS - SEC,CU1.05DCMEDPT-90,KG,0.00,169.00,0.00,0.00,480.00,81120.00
RCPT0000001338,03/09/2015,FGR001501,03/09/2015,FINISHED GOODS - SEC,CU0.16SSHFINEPT-,KG,0.00,37.26,0.00,0.00,495.00,18443.70
RCPT0000001338,03/09/2015,FGR001501,03/09/2015,FINISHED GOODS - SEC,CU0.213SSHFINEPT-,KG,0.00,56.07,0.00,0.00,495.00,27754.65
RCPT0000001338,03/09/2015,FGR001501,03/09/2015,FINISHED GOODS - SEC,CU0.132SSHFINEPT-,KG,0.00,37.12,0.00,0.00,495.00,18374.40
RCPT0000001338,03/09/2015,FGR001501,03/09/2015,FINISHED GOODS - SEC,CU0.295SSHFINEPT-,KG,0.00,56.21,0.00,0.00,495.00,27823.95
RCPT0000001338,03/09/2015,FGR001501,03/09/2015,FINISHED GOODS - SEC,CU0.173SSHFINEPT-,KG,0.00,96.14,0.00,0.00,495.00,47586.82
RCPT0000001338,03/09/2015,FGR001501,03/09/2015,FINISHED GOODS - SEC,CU0.15*3SSFINEPT-,KG,0.00,119.57,0.00,0.00,500.00,59785.00
RCPT0000001338,03/09/2015,FGR001501,03/09/2015,FINISHED GOODS - SEC,CU42SSFINEPT-4,KG,0.00,595.60,0.00,0.00,490.00,291846.45
RCPT0000001338,03/09/2015,FGR001501,03/09/2015,FINISHED GOODS - SEC,CU0.14SSFINEPT-10,KG,0.00,333.08,0.00,0.00,500.00,166542.50
RCPT0000001338,03/09/2015,FGR001501,03/09/2015,FINISHED GOODS - SEC,CU0.254SSHFINEPT-,KG,0.00,62.69,0.00,0.00,495.00,31031.55
RCPT0000001339,03/09/2015,FGR001502,03/09/2015,FINISHED GOODS - SEC,CU25MPMEDPT-25,KG,0.00,94.48,0.00,0.00,470.00,44407.95
RCPT0000001340,03/09/2015,FGR001505,03/09/2015,FINISHED GOODS - SEC,CU0.559DCMEDPT-,KG,0.00,1035.62,0.00,0.00,500.00,517810.00
RCPT0000001340,03/09/2015,FGR001505,03/09/2015,FINISHED GOODS - SEC,CU0.53MPMEDPT-90,KG,0.00,701.60,0.00,0.00,480.00,336768.00
RCPT0000001340,03/09/2015,FGR001505,03/09/2015,FINISHED GOODS - SEC,CU0.7MPMEDPT-90,KG,0.00,690.44,0.00,0.00,470.00,324509.15
RCPT0000001340,03/09/2015,FGR001505,03/09/2015,FINISHED GOODS - SEC,CU1.05DCMEDPT-90,KG,0.00,762.24,0.00,0.00,480.00,365875.20
