,,,,,,,,,ACME INDUSTRIES LTD.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Gate Pass Ledger Details,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,01-04-2015,,,28-05-2015,,
,,,,,,,,,,,,,,,,,,Period :,,,,To,,,
Organisation : ACME INDUSTRIES LTD.,,,,,,,,,,,,,,,,,,,,,,,,,
 Warehouse No./Name:,,,:,,,,,,,,,,,,,,,,,,,,,,
Supplier/Customer,,,:,S.K Jain,,,,,,,,,,,,,,,,,,,,,
Item Name,,,,,Unit,Gate Pass No,,Date,,Source,Document No,Document Date,Dispatched Detail,,,,Receipt Detail,,,,,,,Balance Qty.,
,,,,,,,,,,,,,Quantity,,Date,,Receipt No,,Date,,,Quantity,,,
JPJ Jwellers Golden Ring,,,,,Piece,,GP0000033,01/04/2015,,PACK LIST,PA000053,01-04-2015,1.00,,,30-04-2015,RCPT0000000446,,,,,1.00,,,0.00
JPJ Jwellers Golden Ring,,,,,Piece,,GP0000034,03/04/2015,,PACK LIST,PA000054,03-04-2015,1.00,,,30-04-2015,RCPT0000000447,,,,,1.00,,,0.00
JPJ Jwellers Golden Ring,,,,,Piece,,GP0000035,03/04/2015,,PACK LIST,PA000055,03-04-2015,1.00,,,29-04-2015,RCPT0000000487,,,,,1.00,,,0.00
Supplier/Customer,,,:,Navigant Consulting,,,,,,,,,,,,,,,,,,,,,
Item Name,,,,,Unit,Gate Pass No,,Date,,Source,Document No,Document Date,Dispatched Detail,,,,Receipt Detail,,,,,,,Balance Qty.,
,,,,,,,,,,,,,Quantity,,Date,,Receipt No,,Date,,,Quantity,,,
Adapter One,,,,,Pcs,,GP0000037,22/04/2015,,PURCHASE RETURN,PRT0000013,23-03-2015,0.00,,,22-04-2015,,,,,,,,,0.00
Supplier/Customer,,,:,S.K Jain,,,,,,,,,,,,,,,,,,,,,
Item Name,,,,,Unit,Gate Pass No,,Date,,Source,Document No,Document Date,Dispatched Detail,,,,Receipt Detail,,,,,,,Balance Qty.,
,,,,,,,,,,,,,Quantity,,Date,,Receipt No,,Date,,,Quantity,,,
JPJ Jwellers Golden Ring,,,,,Piece,,GP0000038,17/05/2015,,PACK LIST,PA000125,17-05-2015,10.00,,,17-05-2015,RCPT0000000505,,17-05-2015,,,2.00,,,8.00
JPJ Jwellers Golden Ring,,,,,Piece,,GP0000038,17/05/2015,,PACK LIST,PA000125,17-05-2015,10.00,,,17-05-2015,RCPT0000000505,,17-05-2015,,,8.00,,,2.00
JPJ Jwellers Golden Ring,,,,,Piece,,GP0000039,27/05/2015,,PACK LIST,PA000135,27-05-2015,16.00,,,27-05-2015,,,27-05-2015,,,6.00,,,10.00
JPJ Jwellers Golden Ring,,,,,Piece,,GP0000039,27/05/2015,,PACK LIST,PA000135,27-05-2015,16.00,,,27-05-2015,,,27-05-2015,,,10.00,,,6.00
 Warehouse No./Name:,,,:,,,,,,,,,,,,,,,,,,,,,,
Supplier/Customer,,,:,007 BOND,,,,,,,,,,,,,,,,,,,,,
Item Name,,,,,Unit,Gate Pass No,,Date,,Source,Document No,Document Date,Dispatched Detail,,,,Receipt Detail,,,,,,,Balance Qty.,
,,,,,,,,,,,,,Quantity,,Date,,Receipt No,,Date,,,Quantity,,,
Microsoft Office,,,,,Piece,,GP0000036,20/04/2015,,PURCHASE RETURN,PRT0000014,20-04-2015,0.00,,,20-04-2015,,,,,,,,,0.00
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Page 1 of,,,, 1
,"28-May-2015 , 9.42 AM",,,,,,,,,,,,,,,,,,,,,,,,
,,"----------End Of Report----------
Generated By ebizframe10",,,,,,,,,,,,,,,,,,,,,,,
