,,,Stock Details,,,,
S.No.,Item Code,Description,Opening,Total,Reserved,Rejected,Scrap
1,ALC.0000001,Alcohol,0.00,10.00,0.00,0.00,0.00
2,AM.0000001,Harley Davidson,0.00,0.00,0.00,0.00,0.00
3,AM.0000002,Levis Tshirt,0.00,0.00,0.00,0.00,0.00
4,AM.0000004,YAMAHA-FZ,0.00,16.00,3.00,0.00,0.00
5,AM.0000006,SLS [MUD GUARD] [LIFO],0.00,18.00,0.00,0.00,0.00
6,AM.0000007,SLS [BIKE CHAIN COVER] [MANUAL],0.00,10.00,4.00,0.00,0.00
7,AM.0000011,SLS [TAIL_LAMP],0.00,9.00,0.00,0.00,0.00
8,AM.0000013,SLS [INDICATOR_LEFT],0.00,10.00,0.00,0.00,0.00
9,AM.0002,AK 47,0.00,87.00,10.00,0.00,0.00
10,AM.0003,item220,0.00,0.00,0.00,0.00,0.00
11,CAP.0001,cup_test,0.00,0.00,0.00,0.00,0.00
12,COM.0000002,Leather,0.00,0.00,0.00,0.00,0.00
13,COM.0000009,Laptop Ram,0.00,0.00,0.00,0.00,0.00
14,EG.0000002,Paper Roll,0.00,0.00,0.00,0.00,0.00
15,EG.0001,Aap ka jhadu,0.00,0.00,0.00,0.00,0.00
16,EG.0004,cup01,0.00,0.00,0.00,0.00,0.00
17,EG.0012,SLS_BACKPANEL_LUMIA_730,0.00,8.00,0.00,0.00,0.00
18,EG.0013,SLS_BACKPANEL_LUMIA_620,0.00,9.00,0.00,0.00,0.00
19,EG.0015,SLS_MOTO_G_3G,0.00,8.00,0.00,0.00,0.00
20,EG.0016,SLS_FIFA_15,0.00,2.00,1.00,0.00,0.00
21,EG.0017,Lenovo Laptop,0.00,0.00,0.00,0.00,0.00
22,EG.0019,mouse1,0.00,21.00,2.00,0.00,0.00
23,EG.0020,Television,0.00,13.00,2.00,0.00,0.00
24,EG.0021,PenDrive,0.00,10.00,0.00,0.00,0.00
25,EG.0024,HTC G1,0.00,11.00,2.00,0.00,0.00
26,EG.BLU.0001,Acer laptop,0.00,9990.00,0.00,0.00,0.00
27,EG.Red.Po3.0000001,Test item Stock one,0.00,0.00,0.00,0.00,0.00
28,FG.0000003,Leather Jackets,0.00,0.00,0.00,0.00,0.00
29,FG.0000004,JPJ Jwellers Golden Ring,0.00,16.00,7.00,0.00,0.00
30,FG.0000009,ALU 5550,0.00,10.00,0.00,0.00,0.00
31,FG.0000010,Leather Purse,0.00,2.00,4.00,0.00,0.00
32,ITM.0000010,Lan Cable,0.00,5.00,5.00,0.00,0.00
33,ITM.0000013,Lenovo Adapter,0.00,0.00,0.00,0.00,0.00
34,ITM.0000017,Tea Cup,0.00,0.00,0.00,0.00,0.00
35,ITM.0000018,FREE TWO,0.00,78.00,0.00,0.00,0.00
36,ITM.0000019,Adapter One,0.00,10.00,1.00,0.00,0.00
37,ITM.0000020,Mobile Display,0.00,5.00,0.00,0.00,0.00
38,ITM.0000021,Mobile Keypad,0.00,10.00,4.00,0.00,0.00
39,LBL.0000004,Cup,0.00,0.00,0.00,0.00,0.00
40,OTH.0000001,SEAMAN ROYALE GLASS CUP,0.00,0.00,0.00,0.00,0.00
41,PKG.0002,SLS_TOOL_BOX,0.00,3.00,0.00,0.00,0.00
42,PKG.0003,SLS [TIFIN BOX] [SR],0.00,2.00,2.00,0.00,0.00
43,RM.0000011,Input Itm T2,0.00,0.00,0.00,0.00,0.00
44,RM.0000015,ip2,0.00,10.00,0.00,0.00,0.00
45,SSC.0000002,Adapter,0.00,4.00,2.00,0.00,0.00
46,SW.0000001,asa,0.00,3.00,0.00,0.00,0.00
47,TLS.0000002,Microsoft Office,0.00,0.00,0.00,0.00,0.00
48,TLS.0000002,Microsoft Office,0.00,10.00,0.00,0.00,0.00
1,AM.0000001,Harley Davidson,0.00,20.00,0.00,0.00,0.00
2,AM.0000002,Levis Tshirt,0.00,150.00,0.00,0.00,0.00
3,AM.0000003,SAFARI-9I,0.00,10.00,0.00,0.00,0.00
4,COM.0000009,Laptop Ram,0.00,0.00,0.00,0.00,0.00
5,FG.0000003,Leather Jackets,0.00,60.00,0.00,0.00,3.00
6,FG.0000009,ALU 5550,0.00,0.00,0.00,0.00,0.00
7,TLS.0000002,Microsoft Office,0.00,0.00,0.00,0.00,0.00
8,TLS.0000002,Microsoft Office,0.00,280.00,0.00,0.00,2.00
1,ITM.0000007,service item check,0.00,0.00,0.00,0.00,0.00
2,RM.0001,iphone casing,0.00,0.00,0.00,0.00,0.00
3,SF.0000001,ITEM MNF 1,0.00,0.00,0.00,0.00,0.00
1,AM.0000001,Harley Davidson,0.00,5.00,0.00,0.00,0.00
2,AM.0000002,Levis Tshirt,0.00,122.00,0.00,0.00,0.00
1,AM.0000002,Levis Tshirt,0.00,12.00,0.00,0.00,0.00
2,LBL.0000004,Cup,0.00,13.00,0.00,0.00,0.00
