Supplier Name,Order No ,Order Date ,Item Code	,Item Description,Unit,Ordered Qty,Gross Amount,Discount,Net Amount,Pending Qty
Navigant Consulting,IPO00006,13-04-2015,COM.0000009,Laptop Ram,Piece,10.00,100.00,0.00,130.00,10.00
Navigant Consulting,PO00061,16-04-2015,AM.0000001,Harley Davidson,pair,50.00,23000.00,0.00,37000.00,50.00
Navigant Consulting,PO00061,16-04-2015,EG.0000002,Paper Roll,pair,40.00,14000.00,0.00,37000.00,40.00
A Doctors Pest Control,PO00063,16-04-2015,EG.0001,Aap ka jhadu,Piece,10.00,1100.00,0.00,1100.00,10.00
Navigant Consulting,PO00070,16-04-2015,AM.0000001,Harley Davidson,pair,50.00,23000.00,0.00,37000.00,50.00
Navigant Consulting,PO00070,16-04-2015,EG.0000002,Paper Roll,pair,40.00,14000.00,0.00,37000.00,40.00
Navigant Consulting,PO00064,17-04-2015,AM.0000001,Harley Davidson,pair,1000.00,12122000.00,0.00,16316919.20,1000.00
Navigant Consulting,PO00064,17-04-2015,EG.0000002,Paper Roll,pair,1200.00,2400000.00,0.00,16316919.20,1200.00
Navigant Consulting,PO00066,17-04-2015,AM.0000001,Harley Davidson,pair,50.00,23000.00,0.00,37000.00,50.00
Navigant Consulting,PO00066,17-04-2015,EG.0000002,Paper Roll,pair,40.00,14000.00,0.00,37000.00,40.00
Navigant Consulting,PO00071,17-04-2015,AM.0000001,Harley Davidson,pair,50.00,23000.00,0.00,37000.00,50.00
Navigant Consulting,PO00071,17-04-2015,EG.0000002,Paper Roll,pair,40.00,14000.00,0.00,37000.00,40.00
Navigant Consulting,PO00075,18-04-2015,FG.0000009,ALU 5550,Piece,10.00,100.00,10.00,100.00,10.00
Navigant Consulting,PO00081,18-04-2015,AM.0000001,Harley Davidson,pair,50.00,23000.00,0.00,37000.00,50.00
Navigant Consulting,PO00081,18-04-2015,EG.0000002,Paper Roll,pair,40.00,14000.00,0.00,37000.00,40.00
ANSUL COAL COMPANY LTD,IPO00014,20-04-2015,AM.0000001,Harley Davidson,pair,10.00,20000.00,0.00,20000.00,10.00
Navigant Consulting,IPO00015,20-04-2015,AM.0000002,Levis Tshirt,pair,10.00,100.00,0.00,200.00,10.00
Navigant Consulting,IPO00015,20-04-2015,ITM.0000010,Lan Cable,Piece,10.00,100.00,0.00,200.00,10.00
Navigant Consulting,PO00115,04-05-2015,SLV.0000001,HOLOGRAMIC SLEEVE,m2,20.00,40000.00,20.00,74326.20,20.00
Navigant Consulting,PO00115,04-05-2015,TLS.0000002,Microsoft Office,Piece,20.00,4000.00,0.00,74326.20,20.00
Navigant Consulting,PO00171,22-05-2015,FG.0000003,Leather Jackets,Piece,10.00,200.00,0.00,300.00,10.00
Navigant Consulting,PO00171,22-05-2015,TLS.0000002,Microsoft Office,Piece,10.00,100.00,0.00,300.00,10.00
Navigant Consulting,PO00069,17-04-2015,AM.0000001,Harley Davidson,pair,50.00,23000.00,0.00,37000.00,50.00
Navigant Consulting,PO00069,17-04-2015,EG.0000002,Paper Roll,pair,40.00,14000.00,0.00,37000.00,40.00
Navigant Consulting,IPO00003,03-04-2015,SLV.0000001,HOLOGRAMIC SLEEVE,Piece,10.00,100.00,0.00,234.72,10.00
Navigant Consulting,IPO00003,03-04-2015,TLS.0000002,Microsoft Office,Piece,10.00,100.00,0.00,234.72,10.00
Navigant Consulting,IPO00004,03-04-2015,COM.0000009,Laptop Ram,Piece,10.00,100.00,0.00,224.72,10.00
Navigant Consulting,IPO00004,03-04-2015,TLS.0000002,Microsoft Office,Piece,10.00,100.00,0.00,224.72,10.00
Navigant Consulting,IPO00011,06-04-2015,ITM.0000019,Adapter One,Pcs,10.00,100.00,0.00,246.00,10.00
Navigant Consulting,PO00058,06-04-2015,SSC.0000002,Adapter,pair,10.00,100.00,0.00,100.00,10.00
Navigant Consulting,IPO00005,09-04-2015,ITM.0000019,Adapter One,Pcs,10.00,100.00,0.00,140.00,10.00
Navigant Consulting,IPO00009,09-04-2015,SSC.0000002,Adapter,pair,10.00,100.00,0.00,130.00,10.00
Navigant Consulting,IPO00007,15-04-2015,ITM.0000019,Adapter One,Pcs,10.00,100.00,0.00,130.00,10.00
Navigant Consulting,IPO00008,15-04-2015,EG.0017,Lenovo Laptop,Piece,10.00,2000.00,0.00,4476.00,10.00
Navigant Consulting,IPO00008,15-04-2015,TLS.0000002,Microsoft Office,Piece,5.00,1500.00,0.00,4476.00,5.00
Navigant Consulting,PO00062,16-04-2015,AM.0000001,Harley Davidson,pair,10.00,1000.00,0.00,1000.00,10.00
AB CORP PVT LTD,PO00065,17-04-2015,SF.0000001,ITEM MNF 1,g/mL,5.00,115.00,6.00,123.21,5.00
Navigant Consulting,PO00067,17-04-2015,AM.0000002,Levis Tshirt,pair,77.47,38831.84,0.00,708052.56,77.47
Navigant Consulting,PO00067,17-04-2015,EG.0017,Lenovo Laptop,Piece,147.74,76418.52,0.00,708052.56,147.74
Navigant Consulting,PO00067,17-04-2015,ITM.0000013,Lenovo Adapter,Pcs,247.88,133917.17,0.00,708052.56,247.88
Navigant Consulting,PO00067,17-04-2015,TLS.0000002,Microsoft Office,Piece,598.01,305732.61,0.00,708052.56,598.01
Navigant Consulting,PO00068,17-04-2015,AM.0000002,Levis Tshirt,pair,300.00,60000.00,0.00,120000.00,150.00
Navigant Consulting,PO00068,17-04-2015,AM.0000003,SAFARI-9I,Piece,20.00,60000.00,0.00,120000.00,10.00
Navigant Consulting,PO00072,17-04-2015,ITM.0000007,service item check,Nos,220.00,44000.00,100.00,100000.00,220.00
Navigant Consulting,PO00072,17-04-2015,RM.0001,iphone casing,Piece,50.00,100000.00,0.00,100000.00,50.00
Navigant Consulting,PO00073,18-04-2015,AM.0000001,Harley Davidson,pair,10.00,50000.00,0.00,54000.00,10.00
Navigant Consulting,PO00073,18-04-2015,AM.0000002,Levis Tshirt,pair,20.00,4000.00,0.00,54000.00,20.00
bansal suppliers,PO00074,18-04-2015,AM.0000001,Harley Davidson,pair,100.00,2000.00,0.00,2000.00,100.00
Navigant Consulting,IPO00010,18-04-2015,ITM.0000020,Mobile Display,Pcs,5.00,50.00,5.00,324.00,5.00
Navigant Consulting,IPO00010,18-04-2015,TLS.0000002,Microsoft Office,Piece,10.00,200.00,10.00,324.00,10.00
bansal suppliers,PO00077,18-04-2015,AM.0000001,Harley Davidson,pair,5.00,5000.00,0.00,5000.00,5.00
bansal suppliers,PO00078,18-04-2015,AM.0000001,Harley Davidson,pair,2.00,40.00,0.00,20.00,2.00
bansal suppliers,PO00079,18-04-2015,AM.0000001,Harley Davidson,pair,2.00,20.00,0.00,20.00,2.00
007 BOND,PO00082,18-04-2015,FG.0000003,Leather Jackets,Piece,200.00,15600000.00,0.00,19415158.56,100.00
Navigant Consulting,IPO00012,18-04-2015,ITM.0000019,Adapter One,Pcs,10.00,100.00,0.00,200.00,10.00
Navigant Consulting,IPO00012,18-04-2015,TLS.0000002,Microsoft Office,Piece,10.00,100.00,0.00,200.00,10.00
007 BOND,PO00084,18-04-2015,FG.0000003,Leather Jackets,Piece,20.00,1560000.00,20.00,1752796.00,20.00
007 BOND,PO00083,18-04-2015,FG.0000003,Leather Jackets,Piece,103.00,8034000.00,201.00,9026801.40,103.00
