,,,,,,,,,,Burn Manufacturing Co.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Bill Of Materials (BOM),,,,,,,
,Organization : Burn Manufacturing Co.,,,,,,,,,,,,,,,,,,,,,,
,,BOM Description : ,,,Cone Deck; Formed / BOM00002,,,,,,,Leagacy Code : ,,,,,,,,,,,
,,BOM Date : ,,,24-07-2015,,,,,,,Lead Time : ,,,8 Hr.,,,,,,,,
,,,,,,,,,,,,Mode : ,,,APPROVED,,,,,,,,
,,Type : ,,,PRODUCTION,,,,,,,,,,,,,,,,,,
,,Valid  From : ,,,24/07/2015,,Upto,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Status : ,,,,,,,,,,,
,,,,,,,,,,,,,,,OPEN,,,,,,,,
,,,,,,,,,,,,Active : ,,,,,,,,,,,
,,,Revision No : ,,,1,,,,,,,,,Yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Route Desc : ,,,Cone Deck; Formed,,,,,,,,,,,,,,,,,,
,,Output Item : ,,,Cone Deck; Formed,,,,,,,Unit : ,,,Each,,,,,,,,
,,,,,,,,,,,,,,,,,,,Quantity : ,,1.00,,
,Operation Desc : ,,,,Cut into Strips,,,,,,,OP ID :,,,OP000001,,,,OP S.No : ,,,1,
,S.No.,,,Item ID,,,,Item Desc.,,,Type,,Unit,Quantity,,,,Price,,Amount,,,
,1.,,,WIP.0000004,,,,SS304; Strip; 0.8mm thk × 284.0mm W × 1136.0mm L,,,Operation Output Item,,Each,1.00,,,,0.34,,0.34,,,
,2.,,,RM.0000015,,,,SS304; Sheet; With PVC Coating; 0.8mm thk × 1219mm W × 2438mm L,,,Input Item,,KG,0.10,,,,3.50,,0.34,,,
,Operation Desc : ,,,,Punch (Blank) strip (×4),,,,,,,OP ID :,,,OP000002,,,,OP S.No : ,,,2,
,S.No.,,,Item ID,,,,Item Desc.,,,Type,,Unit,Quantity,,,,Price,,Amount,,,
,1.,,,WIP.0000021,,,,Cone Deck; Flat; KCA2,,,Operation Output Item,,Each,1.00,,,,0.34,,0.34,,,
,2.,,,WIP.0000004,,,,SS304; Strip; 0.8mm thk × 284.0mm W × 1136.0mm L,,,Input Item,,Each,1.00,,,,0.34,,0.34,,,
,Operation Desc : ,,,,Form,,,,,,,OP ID :,,,OP000015,,,,OP S.No : ,,,3,
,S.No.,,,Item ID,,,,Item Desc.,,,Type,,Unit,Quantity,,,,Price,,Amount,,,
,1.,,,WIP.0000022,,,,Cone Deck; Formed,,,Operation Output Item,,Each,1.00,,,,0.34,,0.34,,,
,2.,,,WIP.0000021,,,,Cone Deck; Flat; KCA2,,,Input Item,,Each,1.00,,,,0.34,,0.34,,,
"----------End Of Report----------
Generated by ebizframe 10","02-Jun-2015 , 3.00 PM",,,,,,,,,,,,,,,,Page 1 of,,,,,, 1
