Custmer Name,Category Name,Item Desc.,Effective Date,Expiry Date,Base Price,Minimum Price,MRP Rate,MRP Price
Denso India Ltd.,"Denso
",,01-11-2014,,42,42,472.44,514.44
G K WINDING WIRES LTD. - FARIDABAD,Branch - Fbd,CU0.65DCFINEPT-90,17-06-2015,30-06-2015,40,40,1.03,500.13
Denso India Ltd.,"Denso
",CU1.15DCFINEPT-180,01-06-2015,30-06-2015,39,39,0.01,499.13
Denso India Ltd.,"Denso
",CU0.69MPFINEPT-90,01-06-2015,30-06-2015,29,29,0.01,489.13
Denso India Ltd.,"Denso
",CU0.75MPFINEPT-90,01-06-2015,30-06-2015,29,29,0.01,489.13
Denso India Ltd.,"Denso
",CU0.85MPFINEPT-90,01-06-2015,30-06-2015,28,28,0.01,488.13
Denso India Ltd.,"Denso
",CU0.78DCFINEPT-90,01-06-2015,30-06-2015,40,40,0.01,500.13
Denso India Ltd.,"Denso
",CU1.22MCFINEPT-90,11-06-2015,30-06-2015,60,60,0,520.13
Denso India Ltd.,"Denso
",CU1.3MCFINEPT-180,01-06-2015,30-06-2015,60,60,0.01,520.13
Denso India Ltd.,"Denso
",CU0.8DCFINEPT-90,01-06-2015,30-06-2015,40,40,0.01,500.13
Denso India Ltd.,"Denso
",CU0.6MPFINEPT-90,01-06-2015,30-06-2015,29,29,0.01,489.13
Denso India Ltd.,"Denso
",CU0.7MPMEDPT-90,01-06-2015,30-06-2015,29,29,0.01,489.13
Denso India Ltd.,"Denso
",CU0.9MPFINEPT-90,01-06-2015,30-06-2015,29,29,0.01,489.13
Denso India Ltd.,"Denso
",CU1.9MPMEDPT-180,01-06-2015,30-06-2015,32,32,0.01,492.13
Denso India Ltd.,"Denso
",CU0.55DCFINEPT-90,01-06-2015,30-06-2015,44,44,0.01,504.13
Denso India Ltd.,"Denso
",CU0.85MCMEDPT-90,01-06-2015,30-06-2015,54,54,0.01,514.13
Denso India Ltd.,"Denso
",CU0.95MCMEDPT-90,01-06-2015,30-06-2015,60,60,0.01,520.13
Denso India Ltd.,"Denso
",CU1.05MCMEDPT-90,01-06-2015,30-06-2015,60,60,0.01,520.13
Elgi Ultra Industries Ltd-11E026,"Monthly Aluminium
",AL0.44MPMEDPT-25,17-06-2015,,137,137,0.04,301.03
Elgi Ultra Industries Ltd-11E026,"Monthly Aluminium
",AL0.47MPMEDPT-25,17-06-2015,,135,135,0.04,299.03
Elgi Ultra Industries Ltd-11E026,"Monthly Aluminium
",AL0.54MPMEDPT-25,17-06-2015,,132,132,0.04,296.03
