,,,,,,,,,,,,,,,,,,,,,,,,"B-2112, Behind Fortis Hospital
City In State - NOIDA 
State In India - UTTAR PRADESH 
India
",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Sales Quotation,,,,,,,,,,,,,,,,
,,Organisation : Maverick Industries Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Customer Name :,,,Amandeep Customer,,,,,,Quotation No. :,,,,,,,QT000025,,,,,,,,,,,,,
,,,,,,Currency :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,INR,,,,,,,Qoutation Date :,,,,,,02-07-2015,,,,,,,,,,,,,
,Item Detail,,,,,,,,,,,,,,,,,,,Discount,,,,,,,, Amount Detail,,,,,,,
,Item Desc.,,,,,,,,,,UOM, Qty,,,,,Price,,,,,,,,,,,Net Amount(Specific),,,,Net Amount(Base),,,
,,,,,,,,,,,PIECES,,,10.00,,,,"2,000.00",,,,,0.00,,,,,"20,000.00",,,,,,,
,,,,,ACER LAPTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,000.00",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Terms and Conditions,,,,,,,,,,,,,,,,,,,,,,,,,Taxation Details,,,,,,,
,,,"if the Seller will use or provide for use of motor vehicles in providing and/or performing the Order, automobile (motor vehicle) insurance covering all liabilities for personal injury",,,,,,,,,,,,,,,,,,,,,,,,Tax,,,Tax Amount(Specific),,,,Tax Amount(Base),
,,,,,,,,,,,,,,,,,,,,,,,,,,,VAT4,,,826.4,,,,826.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HEDCESS1,,,200,,,,200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,EXCISE10,,,60,,,,60,
,,,,,,,,,,,,,,,,,,,,,,,,,,,EDCESS2,,,400,,,,400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDVAT1,,,0.6,,,,0.6,
Grand Total   :-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,487.00",,,,
,,,Amount in words,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Twenty-One Thousand Four Hundred Eighty-Seven only,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Created By,,DEEPESH,,,,,,,,,,,,,,,,Approved By,,,LAVISHA,,,,,,
,,,,"03-Jul-2015 , 4.31 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 1 of,, 1
,,,"----------End Of Report----------
Generated By ebizframe10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
