Customer Name,Invoice No.,Invoice Date,Invoice Type,Currency,Item No.,Item Name,Unit,Qty,Price,Gross Amount(Specific),"Tax
(Specific)",Discount,Net Amount(Specific),Net Amount(Base)
AMELCO KABLE PVT. LTD.,SI000312,15-04-2015,DIRECT INVOICE,INR,CU13BARE WIRE,CU13BARE WIRE,KG,2952.000,7.000,20664.000,0.000,0.000,20664.000,20664.000
AMELCO KABLE PVT. LTD.,SI000337,16-04-2015,DIRECT INVOICE,INR,CU13BARE WIRE,CU13BARE WIRE,KG,2970.000,7.000,20790.000,0.000,0.000,20790.000,20790.000
AMELCO KABLE PVT. LTD.,SI000354,17-04-2015,DIRECT INVOICE,INR,CU13BARE WIRE,CU13BARE WIRE,KG,2978.000,7.000,20846.000,0.000,0.000,20846.000,20846.000
AMELCO KABLE PVT. LTD.,SI000361,17-04-2015,DIRECT INVOICE,INR,CU13BARE WIRE,CU13BARE WIRE,KG,2957.000,7.000,20699.000,0.000,0.000,20699.000,20699.000
Anil Dieseal Pvt Ltd.,SI000535,27-04-2015,DIRECT INVOICE,INR,CU16MPMEDM-266,CU16MPMEDM-266,KG,51.055,479.140,24462.493,4434.000,0.000,28896.493,28896.493
Anil Dieseal Pvt Ltd.,SI000535,27-04-2015,DIRECT INVOICE,INR,CU17.5MPMEDM-266,CU17.5MPMEDM-266,KG,44.765,479.140,21448.702,3887.000,0.000,25335.702,25335.702
Anil Dieseal Pvt Ltd.,SI000535,27-04-2015,DIRECT INVOICE,INR,CU17MPMEDM-266,CU17MPMEDM-266,KG,66.725,479.140,31970.616,5795.000,0.000,37765.616,37765.616
Anil Dieseal Pvt Ltd.,SI000535,27-04-2015,DIRECT INVOICE,INR,CU18MPMEDM-266,CU18MPMEDM-266,KG,38.640,479.140,18513.970,3355.000,0.000,21868.970,21868.970
Anil Dieseal Pvt Ltd.,SI000535,27-04-2015,DIRECT INVOICE,INR,CU19.5FCMEDM-266,CU19.5FCMEDM-266,KG,118.605,479.140,56828.400,10300.000,0.000,67128.400,67128.400
Anil Dieseal Pvt Ltd.,SI000535,27-04-2015,DIRECT INVOICE,INR,CU19MPMEDM-266,CU19MPMEDM-266,KG,115.270,479.140,55230.468,10010.000,0.000,65240.468,65240.468
Anil Dieseal Pvt Ltd.,SI000536,27-04-2015,DIRECT INVOICE,INR,CU23MPMEDPT-25,CU23MPMEDPT-25,KG,41.365,483.140,19985.086,3622.000,0.000,23607.086,23607.086
