Customer Name,Curr Desc,Qty,UOM,"Gross Amount
(Specific)",Discount,"Tax
(Specific)",Net Amount(Specific),Net Amount(Base)
AMELCO KABLE PVT. LTD.,INR,11857.000,KG,82999.000,0.000,0.000,82999.000,82999.000
Anil Dieseal Pvt Ltd.,INR,810.450,KG,320446.921,0.000,58079.000,378525.921,378525.921
ANU INDUSTRIES LTD (HARIDWAR),INR,727.890,KG,405305.459,0.000,59782.000,465087.459,465087.459
ANU INDUSTRIES LTD (UDYOG VIHAR),INR,175.590,KG,93800.178,0.000,13836.000,107636.178,107636.178
APEX ELECTRONICS (UNIT -2),INR,38.625,KG,19958.750,0.000,2944.000,22902.750,22902.750
Avisor India Pvt. Ltd,INR,107.450,KG,56909.787,0.000,0.000,56909.787,56909.787
Brite Industries,INR,414.420,KG,216557.574,0.000,31943.000,248500.574,248500.574
C&S Electricals Ltd.(LVCom.Div),INR,7384.605,KG,3934628.118,0.000,713155.000,4647783.118,4647783.118
C & S Electric Ltd.(NSEZ),INR,786.105,KG,424514.489,0.000,0.000,424514.489,424514.489
Chandra Electrical Industries,INR,1443.400,KG,617919.540,0.000,111998.000,729917.540,729917.540
Denso India Ltd.,INR,97355.815,KG,45075268.005,0.000,8169895.000,53245163.005,53245163.005
DEWCON INDUSTRIES,INR,2536.525,KG,1315100.872,0.000,193977.000,1509077.872,1509077.872
DixonTechnologies (India) P.Ltd.(DUNIII),INR,9362.880,KG,5252830.866,0.000,774792.000,6027622.866,6027622.866
DIXON TECHNOLOGOES(IND)P.LTD.GEN,INR,2129.905,KG,1114320.079,0.000,201969.000,1316289.079,1316289.079
ELEMATEC TRADING INDIA PRIVATE LTD.,INR,22.775,KG,11387.500,0.000,1679.000,13066.500,13066.500
Elgi Ultra Industries Ltd-11E026,INR,2671.100,KG,939425.895,0.000,138566.000,1077991.895,1077991.895
Elin Electronics Ltd,INR,1153.905,KG,598856.280,0.000,108543.000,707399.280,707399.280
GETMAG ENTERPRISES,INR,63.800,KG,33574.750,0.000,4952.000,38526.750,38526.750
G K WINDING WIRES LTD. - DELHI,INR,28081.000,KG,13898020.341,0.000,1737254.000,15635274.341,15635274.341
G K WINDING WIRES LTD. - FARIDABAD,INR,83502.555,KG,37098456.730,0.000,4637308.000,41735764.730,41735764.730
G K WINDING WIRES LTD. - PUNE,INR,19823.020,KG,9559356.201,0.000,1194920.000,10754276.201,10754276.201
GOURAV ROSHNI LIMITED,INR,1697.735,KG,823431.205,0.000,149246.000,972677.205,972677.205
GSP Electronics Pvt Ltd,INR,133.065,KG,68422.023,0.000,12402.000,80824.023,80824.023
HAVELLS INDIA LTD ( HARIDWAR),INR,10844.090,KG,5291889.289,0.000,780552.000,6072441.289,6072441.289
HONDA SIEL POWER PRODUCTS LTD,INR,4412.010,KG,2172141.308,0.000,393701.000,2565842.308,2565842.308
India Nippon Electrical Ltd ( UN III ),INR,18179.405,KG,8801321.676,9428646.00,1100165.000,472840.676,472840.676
J D Engineering,INR,3415.470,KG,1679366.601,0.000,247706.000,1927072.601,1927072.601
Kanik Electronics Pvt Ltd,INR,11122.265,KG,5697854.723,0.000,840437.000,6538291.723,6538291.723
Kaynes Technology India P Ltd,INR,1997.920,KG,875488.544,0.000,17510.000,892998.544,892998.544
LAKHSHMI MAGNET WIRES PVT. LTD.,INR,415.300,KG,72262.200,0.000,10659.000,82921.200,82921.200
L G Electronics India (P) Ltd,INR,26944.910,KG,12988261.401,0.000,2354123.000,15342384.401,15342384.401
LUMINOUS POWER TECHNOLOGIES P LTD. ,INR,5737.275,KG,1479109.139,0.000,218169.000,1697278.139,1697278.139
Majistic Auto Ltd.,INR,20.550,KG,6064.474,0.000,1099.000,7163.474,7163.474
Mandeep Cables P Ltd,INR,32893.000,KG,279590.500,0.000,0.000,279590.500,279590.500
Mansfield Cable Co.,INR,634.815,KG,309878.594,0.000,56166.000,366044.594,366044.594
N.J.ELECTRONICS,INR,2500.085,KG,1297831.826,0.000,235231.000,1533062.826,1533062.826
NOIDA ELECTRONICS,INR,2969.000,KG,25830.300,0.000,0.000,25830.300,25830.300
NOIDA ELECTRONICS (U-II),INR,2940.000,KG,25578.000,0.000,0.000,25578.000,25578.000
Nortex Marketing,INR,47.705,KG,25581.806,0.000,4637.000,30218.806,30218.806
Nrjee System U-II,INR,3025.015,KG,1584029.992,0.000,287108.000,1871137.992,1871137.992
NTL ElECTRONICS INDIA LTD.,INR,739.100,KG,365841.835,0.000,66309.000,432150.835,432150.835
NTL ELECTRONICS INDIA LTD. (C-45),INR,847.595,KG,417779.576,0.000,75722.000,493501.576,493501.576
ONKAR ENGINE & GEN (P) LTD,INR,4043.050,KG,1878856.907,0.000,340543.000,2219399.907,2219399.907
Orient Electricals(ADivOfOrientPaper&InduLtd),INR,45108.685,KG,1630977.603,1469.000,40143.000,1669651.603,1669651.603
PREETHI KITCHEN APPLIANCES P.LTD-HP-,INR,4402.975,KG,1212972.931,0.000,178913.000,1391885.931,1391885.931
Puri Electronics Pvt Ltd,INR,458.235,KG,237968.504,0.000,35101.000,273069.504,273069.504
Quality Industries,INR,1939.235,KG,945639.213,0.000,139482.000,1085121.213,1085121.213
R.D. METALS,INR,1064.000,KGS,74480.000,0.000,10986.000,85466.000,85466.000
RISHABH  INDUSTRIES,INR,764.020,KG,384538.828,0.000,56719.000,441257.828,441257.828
ROSY ELECTRONICS PVT. LTD.,INR,20.735,KG,10703.407,0.000,1940.000,12643.407,12643.407
RPS ELECTRONICS,INR,61.760,KG,31872.483,0.000,4701.000,36573.483,36573.483
SAZAYA & COMPANY,INR,1640.000,KGS,5740.000,0.000,287.000,6027.000,6027.000
SAZAYA & COMPANY,INR,71.000,PCS,14910.000,0.000,2703.000,17613.000,17613.000
SCT Limited,INR,565.855,KG,273986.991,0.000,49659.000,323645.991,323645.991
SRINISONS WIRING SYSTEMS P Ltd,INR,32.340,KG,13623.870,0.000,2009.000,15632.870,15632.870
STAR SINTERED PRODUCTS LTD.,INR,4470.000,KG,1438052.000,0.000,260647.000,1698699.000,1698699.000
Subham Machines (P) LTD.,INR,183.000,PCS,38430.000,0.000,6965.000,45395.000,45395.000
Subros Limited,INR,364.095,KG,174547.143,0.000,31635.000,206182.143,206182.143
SWASTIK WIRE PRODUCT,INR,14.000,KG,2072.000,0.000,306.000,2378.000,2378.000
SWASTIK WIRE PRODUCT,INR,17.000,L,2822.000,0.000,474.000,3296.000,3296.000
SYNFLEX-ELEKTRO P LTD.,INR,440.740,KG,246126.622,0.000,44611.000,290737.622,290737.622
Valeo Friction Material India Pvt. Ltd,INR,2002.665,KG,967867.968,0.000,142760.000,1110627.968,1110627.968
Vardhman Electrical Appliances,INR,2814.905,KG,1366916.744,0.000,201620.000,1568536.744,1568536.744
VICTOR COMPONENT SYSTEMS P LTD. ,INR,2861.475,KG,1468274.344,0.000,266126.000,1734400.344,1734400.344
Vikas Spool PVt Ltd,INR,1663.000,KG,87546.750,0.000,4811.000,92357.750,92357.750
Wires & Electricals,INR,1029.095,KG,520234.827,0.000,65030.000,585264.827,585264.827
