Product Group,Curr Desc,Qty,Gross Amount(Specific),Discount,Tax(Specific),Net Amount(Specific),Net Amount(Base)
ALUMINIUM WIRE / ROD,INR,415.3,"72,262.20",0.00,"10,659.00","82,921.20","82,921.20"
,INR,33066.16,"8,756,867.17",0.00,"1,291,145.00","10,048,012.17","10,048,012.17"
Balco Circular,INR,11880.415,"2,835,571.61",0.00,"411,009.00","3,246,580.61","3,246,580.61"
Hindalco,INR,28631.055,"7,659,560.55",0.00,"1,077,606.00","8,737,166.55","8,737,166.55"
Monthly Aluminium,INR,20335.315,"6,283,203.68",0.00,"785,402.00","7,068,605.68","7,068,605.68"
Prov AL,INR,2152.24,"446,934.16",0.00,"55,866.00","502,800.16","502,800.16"
AL BARE WIRE,INR,688.4,"117,351.55",0.00,"17,309.00","134,660.55","134,660.55"
CU BARE WIRE,INR,171849.81,"7,595,299.88",0.00,"1,005,015.00","8,600,314.88","8,600,314.88"
,INR,92.175,"50,696.25",0.00,"6,337.00","57,033.25","57,033.25"
,INR,425877.075,"194,062,621.21","19,992,111.49","31,320,571.00","205,391,080.72","205,391,080.72"
1.0957,INR,50907.5,"24,805,205.11",0.00,"3,100,653.00","27,905,858.11","27,905,858.11"
Denso,INR,168505.975,"80,632,833.99",0.00,"13,264,574.00","93,897,407.99","93,897,407.99"
Monthly WWMA,INR,40776.335,"20,384,126.74",0.00,"2,551,306.00","22,935,432.74","22,935,432.74"
Prov CU,INR,148435.105,"35,830,258.55","122,506.20","4,892,740.00","40,600,492.35","40,600,492.35"
Weekly 1.0585 PLUS 1,INR,42650.1,"21,760,480.01",0.00,"3,291,790.00","25,052,270.01","25,052,270.01"
Weekly WWMA,INR,47238.465,"23,206,219.85","1,354,993.00","3,327,867.00","25,179,093.85","25,179,093.85"
Weekly WWMA PLUS 1,INR,165813.965,"86,053,066.70",0.00,"12,661,356.00","98,714,422.70","98,714,422.70"
,INR,10,"70,000.00",0.00,"10,325.00","80,325.00","80,325.00"
,INR,2100,"392,700.00",0.00,"57,924.00","450,624.00","450,624.00"
H CLASS,INR,2100,"396,900.00",0.00,"58,543.00","455,443.00","455,443.00"
,INR,1,"7,360.00",0.00,"1,086.00","8,446.00","8,446.00"
,INR,14,"2,072.00",0.00,306.00,"2,378.00","2,378.00"
,INR,365,"214,150.00",0.00,"27,228.00","241,378.00","241,378.00"
AL SCRAP,INR,6255,"470,790.00",0.00,"69,443.00","540,233.00","540,233.00"
CU SCRAP,INR,18061,"4,581,694.00","4,070.00","829,697.00","4,800,285.00","4,800,285.00"
Other Scrap,INR,20859,"407,246.55",0.00,"61,572.00","468,818.55","468,818.55"
,INR,720,"158,400.00",0.00,"23,364.00","181,764.00","181,764.00"
,INR,39,"6,694.00",0.00,"1,045.00","7,739.00","7,739.00"
