,,,,,,,,,,,,,,,,,G.K. WINDING WIRES LTD,,,,,,,
,,,,,,,,,,,,,,,,,,,Sale Invoice Register,,,,,
,,,,,,,,,,,,,,,,,,,,,01-04-2015,,23-06-2015,
,,,,,,,,,,,,,,,,,,From,,,,To,,
Organisation : G.K. WINDING WIRES LTD,,,,,,,,,,,,,,,,,,,,,,,,
,,Invoice Id,Invoice Date,Item Description,Currency,Customer,Qty,Unit,Gross,,EXCISE ON SALES - 12.50%,OUTPUT VAT PAYABLE  @ 4%,OUTPUT VAT PAYABLE ADDITIONAL @ 1%,CENTRAL SALES TAX PAYABLE - 2.00%,,Net Amount,,,,,,,,
,,SI000041,03-04-2015,AL33MPMEDPT-10,INR,G K WINDING WIRES LTD. - FARIDABAD,348.800,KG,87.200,0000010100094,11.000,0.000,0.000,0.000,0.000,98.200,,,,,,,,
,,SI000097,06-04-2015,AL29MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,642.780,KG,26225.424,0000010100094,3278.000,0.000,0.000,0.000,0.000,29503.424,,,,,,,,
,,SI000103,07-04-2015,CU32MPFINEPT-10,INR,G K WINDING WIRES LTD. - DELHI,620.900,KG,620.900,0000010100087,78.000,0.000,0.000,0.000,0.000,698.900,,,,,,,,
,,SI000119,07-04-2015,AL32MPMEDPT-10,INR,G K WINDING WIRES LTD. - FARIDABAD,196.220,KG,539.605,0000010100094,67.000,0.000,0.000,0.000,0.000,606.605,,,,,,,,
,,SI000146,08-04-2015,AL29MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,498.495,KG,3863.336,0000010100094,483.000,0.000,0.000,0.000,0.000,4346.336,,,,,,,,
,,,,AL32MPMEDPT-10,INR,G K WINDING WIRES LTD. - FARIDABAD,304.025,KG,836.069,0000010100094,105.000,0.000,0.000,0.000,0.000,941.069,,,,,,,,
,,SI000176,09-04-2015,CU0.363HSSFINEPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,511.310,KG,2040.127,0000010100086,255.000,0.000,0.000,0.000,0.000,2295.127,,,,,,,,
,,SI000213,10-04-2015,AL28MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,99.510,KG,2020.053,0000010100094,253.000,0.000,0.000,0.000,0.000,2273.053,,,,,,,,
,,,,AL29MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,494.335,KG,20168.868,0000010100094,2521.000,0.000,0.000,0.000,0.000,22689.868,,,,,,,,
,,SI000247,11-04-2015,AL28MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,147.660,KG,2997.500,0000010100094,375.000,0.000,0.000,0.000,0.000,3372.500,,,,,,,,
,,,,AL30MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,229.440,KG,8041.870,0000010100094,1005.000,0.000,0.000,0.000,0.000,9046.870,,,,,,,,
,,SI000282,14-04-2015,CU18.5MPMEDM-266,INR,G K WINDING WIRES LTD. - FARIDABAD,105.355,KG,1891.122,0000010100086,236.000,0.000,0.000,0.000,0.000,2127.122,,,,,,,,
,,SI000306,15-04-2015,CU0.22SSMEDPT-10,INR,G K WINDING WIRES LTD. - DELHI,106.890,KG,213.780,0000010100086,27.000,0.000,0.000,0.000,0.000,240.780,,,,,,,,
,,SI000358,17-04-2015,AL29MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,494.825,KG,3834.894,0000010100094,479.000,0.000,0.000,0.000,0.000,4313.894,,,,,,,,
,,SI000444,22-04-2015,CU35FCMEDPT-10,INR,G K WINDING WIRES LTD. - FARIDABAD,499.770,KG,9525.616,0000010100027,1191.000,0.000,0.000,0.000,0.000,10716.616,,,,,,,,
,,SI000445,22-04-2015,AL29MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,379.315,KG,15476.052,0000010100094,1935.000,0.000,0.000,0.000,0.000,17411.052,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Page 1 of,,,, 11
,"13-Jul-2015 , 3.35 PM",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,G.K. WINDING WIRES LTD,,,,,,,
,,,,,,,,,,,,,,,,,,,Sale Invoice Register,,,,,
,,,,,,,,,,,,,,,,,,,,,01-04-2015,,23-06-2015,
,,,,,,,,,,,,,,,,,,From,,,,To,,
Organisation : G.K. WINDING WIRES LTD,,,,,,,,,,,,,,,,,,,,,,,,
,,Invoice Id,Invoice Date,Item Description,Currency,Customer,Qty,Unit,Gross,,EXCISE ON SALES - 12.50%,OUTPUT VAT PAYABLE  @ 4%,OUTPUT VAT PAYABLE ADDITIONAL @ 1%,CENTRAL SALES TAX PAYABLE - 2.00%,,Net Amount,,,,,,,,
,,SI000445,22-04-2015,AL32MPMEDPT-10,INR,G K WINDING WIRES LTD. - FARIDABAD,131.400,KG,6280.920,0000010100094,785.000,0.000,0.000,0.000,0.000,7065.920,,,,,,,,
,,SI000514,27-04-2015,CU28MPFINEPT-25,INR,G K WINDING WIRES LTD. - DELHI,640.145,KG,1273.889,0000010100087,159.000,0.000,0.000,0.000,0.000,1432.889,,,,,,,,
,,,,CU37MPFINEPT-10,INR,G K WINDING WIRES LTD. - DELHI,460.965,KG,917.320,0000010100087,115.000,0.000,0.000,0.000,0.000,1032.320,,,,,,,,
,,SI000523,27-04-2015,CU33MPMEDPT-10,INR,G K WINDING WIRES LTD. - PUNE,201.395,KG,406.818,0000010100091,51.000,0.000,0.000,0.000,0.000,457.818,,,,,,,,
,,,,CU33SSMEDPT-10,INR,G K WINDING WIRES LTD. - PUNE,200.625,KG,405.262,0000010100086,51.000,0.000,0.000,0.000,0.000,456.262,,,,,,,,
,,,,CU36MPMEDPT-10,INR,G K WINDING WIRES LTD. - PUNE,192.245,KG,388.335,0000010100091,49.000,0.000,0.000,0.000,0.000,437.335,,,,,,,,
,,,,CU36SSMEDPT-10,INR,G K WINDING WIRES LTD. - PUNE,161.940,KG,327.119,0000010100086,41.000,0.000,0.000,0.000,0.000,368.119,,,,,,,,
,,SI000530,27-04-2015,AL26MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,251.380,KG,10759.064,0000010100094,1345.000,0.000,0.000,0.000,0.000,12104.064,,,,,,,,
,,,,AL34MPMEDPT-10,INR,G K WINDING WIRES LTD. - FARIDABAD,443.120,KG,7444.416,0000010100094,931.000,0.000,0.000,0.000,0.000,8375.416,,,,,,,,
,,SI000552,28-04-2015,CU38HCFINEPT-4,INR,G K WINDING WIRES LTD. - DELHI,497.065,KG,999.101,0000010100086,125.000,0.000,0.000,0.000,0.000,1124.101,,,,,,,,
,,SI000585,29-04-2015,AL29MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,536.560,KG,21891.648,0000010100094,2736.000,0.000,0.000,0.000,0.000,24627.648,,,,,,,,
,,SI000590,30-04-2015,CU0.115SSFINEPT-4,INR,G K WINDING WIRES LTD. - DELHI,338.285,KG,679.953,0000010100086,85.000,0.000,0.000,0.000,0.000,764.953,,,,,,,,
,,SI000606,30-04-2015,CU35SSMEDPT-10,INR,G K WINDING WIRES LTD. - DELHI,112.860,KG,225.720,0000010100090,28.000,0.000,0.000,0.000,0.000,253.720,,,,,,,,
,,SI000618,30-04-2015,CU0.09SSFINEPT-4,INR,Elin Electronics Ltd,25.845,KG,104.414,0000010100027,13.000,5.000,1.000,0.000,0.000,123.414,,,,,,,,
,,,,CU0.25SSFINEPT-10,INR,Elin Electronics Ltd,123.115,KG,497.385,0000010100027,62.000,22.000,6.000,0.000,0.000,587.385,,,,,,,,
,,,,CU40SSMEDPT-4,INR,Elin Electronics Ltd,3014.835,KG,12179.933,0000010100086,507.000,183.000,45.000,0.000,0.000,14384.933,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Page 2 of,,,, 11
,"13-Jul-2015 , 3.35 PM",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,G.K. WINDING WIRES LTD,,,,,,,
,,,,,,,,,,,,,,,,,,,Sale Invoice Register,,,,,
,,,,,,,,,,,,,,,,,,,,,01-04-2015,,23-06-2015,
,,,,,,,,,,,,,,,,,,From,,,,To,,
Organisation : G.K. WINDING WIRES LTD,,,,,,,,,,,,,,,,,,,,,,,,
,,Invoice Id,Invoice Date,Item Description,Currency,Customer,Qty,Unit,Gross,,EXCISE ON SALES - 12.50%,OUTPUT VAT PAYABLE  @ 4%,OUTPUT VAT PAYABLE ADDITIONAL @ 1%,CENTRAL SALES TAX PAYABLE - 2.00%,,Net Amount,,,,,,,,
,,SI000619,30-04-2015,CU36SSNYLONMEDPT-10,INR,HAVELLS INDIA LTD ( HARIDWAR),11718.755,KG,334101.706,0000010100027,18634.000,0.000,0.000,3353.000,0.000,383380.706,,,,,,,,
