,Invoice Id,Invoice Date,Item Description,Currency,Customer,Qty,Unit,Gross,Discount,EXCISE ON SALES - 12.50%,EXCISE ON SALES - 14.50%,OUTPUT VAT PAYABLE  @ 4%,OUTPUT VAT PAYABLE ADDITIONAL @ 1%,CENTRAL SALES TAX PAYABLE - 2% EOU,CENTRAL SALES TAX PAYABLE - 2.00%,CENTRAL SALES TAX PAYABLE - 5%,,Net Amount
,SI000001,01-04-2015,CU0.6DCMEDPT-90,INR,L G Electronics India (P) Ltd,82.020,KG,38902.086,0.000,4863.000,0.000,1751.000,438.000,0.000,0.000,0.000,0.000,45954.086
,SI000002,01-04-2015,CU0.55DCFINEPT-45,INR,G K WINDING WIRES LTD. - FARIDABAD,886.060,KG,424777.164,0.000,53097.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,477874.164
,,,CU0.6DCFINEPT-45,INR,G K WINDING WIRES LTD. - FARIDABAD,468.270,KG,224488.638,0.000,28061.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,252549.638
,,,CU0.72MPMEDPT-45,INR,G K WINDING WIRES LTD. - FARIDABAD,1002.455,KG,485709.497,0.000,60714.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,546423.497
,,,CU0.7MPMEDPT-90,INR,G K WINDING WIRES LTD. - FARIDABAD,438.290,KG,205671.965,0.000,25709.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,231380.965
,,,CU23MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,45.690,KG,22537.049,0.000,2817.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25354.049
,,,CU24MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,121.155,KG,59882.070,0.000,7485.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67367.070
,,,CU25MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,48.175,KG,23859.150,0.000,2982.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26841.150
,SI000003,01-04-2015,AL0.75MPMEDPT-90,INR,G K WINDING WIRES LTD. - FARIDABAD,220.715,KG,59913.087,0.000,7489.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67402.087
,SI000004,01-04-2015,CU0.75DCMEDPT-45,INR,India Nippon Electrical Ltd ( UN III ),492.075,KG,239665.129,1354993.000,29958.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1085369.871
,,,CU0.9DCMEDPT-45,INR,India Nippon Electrical Ltd ( UN III ),2545.685,KG,1237330.194,1354993.000,154666.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37003.194
,SI000005,02-04-2015,CU0.6MPFINEPT-90,INR,Denso India Ltd.,301.985,KG,137077.031,0.000,17135.000,0.000,6168.000,1542.000,0.000,0.000,0.000,0.000,161922.031
,SI000006,02-04-2015,CU0.7MPMEDPT-90,INR,Denso India Ltd.,385.270,KG,174881.758,0.000,21860.000,0.000,7870.000,1967.000,0.000,0.000,0.000,0.000,206578.758
,SI000007,02-04-2015,CU0.7DCFINEPT-90,INR,Denso India Ltd.,146.620,KG,68166.570,0.000,8521.000,0.000,3068.000,767.000,0.000,0.000,0.000,0.000,80522.570
,SI000008,02-04-2015,CU0.9MPFINEPT-90,INR,Denso India Ltd.,311.645,KG,141461.898,0.000,17683.000,0.000,6366.000,1591.000,0.000,0.000,0.000,0.000,167101.898
,SI000009,02-04-2015,CU0.9DCMEDPT-90,INR,Denso India Ltd.,334.200,KG,155042.064,0.000,19380.000,0.000,6977.000,1744.000,0.000,0.000,0.000,0.000,183143.064
,SI000010,02-04-2015,CU1DCMEDPT-90,INR,Denso India Ltd.,498.865,KG,231433.451,0.000,28929.000,0.000,10414.000,2604.000,0.000,0.000,0.000,0.000,273380.451
,SI000011,02-04-2015,CU1.05DCMEDPT-90,INR,Denso India Ltd.,849.130,KG,393928.390,0.000,49241.000,0.000,17727.000,4432.000,0.000,0.000,0.000,0.000,465328.390
,SI000012,02-04-2015,CU1.15DCFINEPT-180,INR,Denso India Ltd.,351.960,KG,163281.283,0.000,20410.000,0.000,7348.000,1837.000,0.000,0.000,0.000,0.000,192876.283
,SI000013,02-04-2015,CU1.9MPMEDPT-180,INR,Denso India Ltd.,215.060,KG,98265.215,0.000,12283.000,0.000,4422.000,1105.000,0.000,0.000,0.000,0.000,116075.215
,SI000015,02-04-2015,CU0.22SSFINEPT-10,INR,DixonTechnologies (India) P.Ltd.(DUNIII),60.000,KG,29850.000,0.000,3731.000,0.000,0.000,0.000,0.000,672.000,0.000,0.000,34253.000
,SI000016,02-04-2015,CU0.22SSFINEPT-10,INR,DixonTechnologies (India) P.Ltd.(DUNIII),340.270,KG,176678.392,0.000,22085.000,0.000,0.000,0.000,0.000,3975.000,0.000,0.000,202738.392
,,,CU0.2SSFINEPT-10,INR,DixonTechnologies (India) P.Ltd.(DUNIII),60.100,KG,31446.123,0.000,3931.000,0.000,0.000,0.000,0.000,708.000,0.000,0.000,36085.123
,SI000017,02-04-2015,CU31SSMEDPT-10,INR,Nrjee System U-II,9.345,KG,4889.865,0.000,611.000,0.000,220.000,55.000,0.000,0.000,0.000,0.000,5775.865
,,,CU35SSMEDPT-10,INR,Nrjee System U-II,412.480,KG,218309.165,0.000,27289.000,0.000,9824.000,2456.000,0.000,0.000,0.000,0.000,257878.165
,,,CU37*3SSMEDPT-10,INR,Nrjee System U-II,15.310,KG,9297.151,0.000,1162.000,0.000,418.000,105.000,0.000,0.000,0.000,0.000,10982.151
,SI000018,02-04-2015,CU30SSMEDPT-10,INR,Kanik Electronics Pvt Ltd,1110.050,KG,559720.512,0.000,69965.000,0.000,0.000,0.000,0.000,12594.000,0.000,0.000,642279.512
,SI000019,02-04-2015,CU1.00 BARE WIRE (JW),INR,Mandeep Cables P Ltd,2961.000,KG,25168.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25168.500
,SI000020,02-04-2015,CU26MPFINEPT-25,INR,Vardhman Electrical Appliances,103.780,KG,50512.839,0.000,6314.000,0.000,0.000,0.000,1137.000,0.000,0.000,0.000,57963.839
,,,CU38MPFINEPT-10,INR,Vardhman Electrical Appliances,459.330,KG,235282.606,0.000,29410.000,0.000,0.000,0.000,5294.000,0.000,0.000,0.000,269986.606
,SI000021,02-04-2015,CU26MPFINEPT-25,INR,G K WINDING WIRES LTD. - DELHI,500.830,KG,243768.986,0.000,30471.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,274239.986
,,,CU34MPMEDPT-10,INR,G K WINDING WIRES LTD. - DELHI,314.755,KG,155803.725,0.000,19475.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,175278.725
,,,CU35MPFINEPT-10,INR,G K WINDING WIRES LTD. - DELHI,295.540,KG,145178.114,0.000,18147.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,163325.114
,SI000022,02-04-2015,AL31MPMEDPT-10,INR,G K WINDING WIRES LTD. - DELHI,200.140,KG,53467.401,0.000,6683.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,60150.401
,SI000023,02-04-2015,CU0.363HSSFINEPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,511.310,KG,264991.521,0.000,33124.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,298115.521
,,,CU23.5DCMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,1042.035,KG,519204.359,0.000,64901.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,584105.359
,,,CU36FCMEDPT-10,INR,G K WINDING WIRES LTD. - FARIDABAD,322.430,KG,164523.132,0.000,20565.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,185088.132
,,,CU37*3SSMEDPT-10,INR,G K WINDING WIRES LTD. - FARIDABAD,96.375,KG,56622.240,0.000,7078.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63700.240
,,,CU38SSMEDPT-10,INR,G K WINDING WIRES LTD. - FARIDABAD,305.030,KG,162050.238,0.000,20256.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,182306.238
,,,CU42*10SSFINEPT-10,INR,G K WINDING WIRES LTD. - FARIDABAD,86.425,KG,57171.866,0.000,7146.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64317.866
,SI000024,02-04-2015,AL28MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,433.125,KG,114518.250,0.000,14315.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,128833.250
,,,AL32MPMEDPT-10,INR,G K WINDING WIRES LTD. - FARIDABAD,51.670,KG,13868.228,0.000,1734.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15602.228
,,,AL33MPMEDPT-10,INR,G K WINDING WIRES LTD. - FARIDABAD,348.800,KG,93617.920,0.000,11702.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,105319.920
,SI000025,03-04-2015,CU0.5DCMEDPT-45,INR,HONDA SIEL POWER PRODUCTS LTD,680.100,KG,335472.927,0.000,41934.000,0.000,15096.000,3774.000,0.000,0.000,0.000,0.000,396276.927
,,,CU0.8DCMEDPT-45,INR,HONDA SIEL POWER PRODUCTS LTD,565.925,KG,277456.050,0.000,34682.000,0.000,12486.000,3121.000,0.000,0.000,0.000,0.000,327745.050
,,,CU0.9DCMEDPT-45,INR,HONDA SIEL POWER PRODUCTS LTD,697.560,KG,341295.181,0.000,42662.000,0.000,15358.000,3840.000,0.000,0.000,0.000,0.000,403155.181
,SI000026,03-04-2015,CU0.6MPFINEPT-90,INR,Denso India Ltd.,82.655,KG,37518.758,0.000,4690.000,0.000,1688.000,422.000,0.000,0.000,0.000,0.000,44318.758
,SI000027,03-04-2015,CU0.7MPMEDPT-90,INR,Denso India Ltd.,312.210,KG,141718.363,0.000,17715.000,0.000,6377.000,1594.000,0.000,0.000,0.000,0.000,167404.363
,SI000028,03-04-2015,CU0.78DCFINEPT-90,INR,Denso India Ltd.,81.540,KG,37909.577,0.000,4739.000,0.000,1706.000,426.000,0.000,0.000,0.000,0.000,44780.577
