,,,,,ACME INDUSTRIES LTD.,,,,,,,,,,,,,
,,,,,,,,Loading Advice,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Period :,,,To,,
Customer Name,,,:,S.K. TELECOM,,,,,,,,,,,,,,
Pick List No.,,,:,01PI000016,,,Pick List Date,,,,:,12/18/14 6:58 PM,,,,,,
Sales Order No.,,,:,01SO000019,,,Sales Order Date,,,,:,12/18/14 10:18 AM,,,,,,
Product Name,,,,,,Basic UOM,,,Sales Qty,,,,,Loading Qty,,,,
Microsoft Office,,,,,,Piece,,,8,,,,,,,,,
Iphone 6,,,,,,Piece,,,10,,,,,,,,,
Leather Jackets,,,,,,Piece,,,10,,,,,,,,,
Harley Davidson,,,,,,pair,,,1,,,,,,,,,
Microsoft Office,,,,,,Piece,,,0.75,,,,,,,,,
,,Loader Authorization,,,,,,,,Prepared By,,,,,,,,
,,,,,,,,,,SUPERVISOR,,,,,,,,
,"04-Sep-2015 , 2.02 PM",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Page 1 of,,, 1
"----------End Of Report----------
Generated By ebizframe10",,,,,,,,,,,,,,,,,,
