Category Name,Customer Name,Item Desc.,Item UOM,Base Price,Minimum Price,MRP Rate,MRP Price,Effective Date,Expiry Date
"2 Week WWMA avg
",HONDA SIEL POWER PRODUCTS LTD,,,,,,,,
,,CU0.5DCMEDPT-45,KILOGRAM,52.00,52.00,12.91,493.98,22-06-2015,06-07-2015
,,CU0.6DCMEDPT-45,KILOGRAM,51.00,51.00,12.91,492.98,22-06-2015,06-07-2015
,,CU0.7DCMEDPT-45,KILOGRAM,50.00,50.00,12.91,491.98,22-06-2015,06-07-2015
,,CU1.2DCMEDPT-45,KILOGRAM,48.00,48.00,12.91,489.98,22-06-2015,06-07-2015
,,CU0.8DCMEDPT-45,KILOGRAM,49.00,49.00,12.91,490.98,22-06-2015,06-07-2015
,,CU0.9DCMEDPT-45,KILOGRAM,48.00,48.00,12.91,489.98,22-06-2015,06-07-2015
,,CU1DCMEDPT-45,KILOGRAM,48.00,48.00,12.91,489.98,22-06-2015,06-07-2015
,,CU0.75DCMEDPT-45,KILOGRAM,49.00,49.00,12.91,490.98,22-06-2015,06-07-2015
"Balco Circular
",PREETHI KITCHEN APPLIANCES P.LTD-HP-JA,,,,,,,,
,,AL24HCMEDPT-25,KILOGRAM,130.00,130.00,145.15,275.15,28-06-2015,
,,AL22HCMEDPT-25,KILOGRAM,127.00,127.00,0.00,272.15,07-05-2015,
,,AL23.5HCMEDPT-25,KILOGRAM,130.00,130.00,4.00,275.15,07-05-2015,
,,AL25DCMEDPT-25,KILOGRAM,135.00,135.00,8.00,273.40,22-06-2015,
Branch - Del,G K WINDING WIRES LTD. - DELHI,,,,,,,,
,,CU0.21SSFINEPT-10,KILOGRAM,68.00,68.00,4.10,498.54,28-06-2015,
,,CU0.23SSFINEPT-10,KILOGRAM,68.00,68.00,4.10,498.54,28-06-2015,
,,CU0.26SSFINEPT-10,KILOGRAM,68.00,68.00,4.10,498.54,28-06-2015,
,,CU0.26SSMEDPT-10,KILOGRAM,73.00,73.00,4.10,503.54,28-06-2015,
,,CU0.27SSFINEPT-10,KILOGRAM,67.00,67.00,4.10,497.54,28-06-2015,
,,CU0.34SSFINEPT-10,KILOGRAM,60.00,60.00,4.10,490.54,28-06-2015,
,,CU0.3SSFINEPT-10,KILOGRAM,65.00,65.00,4.10,495.54,28-06-2015,
,,CU0.45SSFINEPT-25,KILOGRAM,57.00,57.00,4.10,487.54,28-06-2015,
,,CU0.4SSFINEPT-25,KILOGRAM,58.00,58.00,4.10,488.54,28-06-2015,
,,CU16.5MPMEDM-266,KILOGRAM,28.00,28.00,4.10,458.54,28-06-2015,
,,CU17.5MPMEDM-266,KILOGRAM,28.00,28.00,4.10,458.54,28-06-2015,
,,CU17MPMEDM-266,KILOGRAM,28.00,28.00,4.10,458.54,28-06-2015,
,,CU18.5HCMEDM-266,KILOGRAM,41.00,41.00,4.10,471.54,28-06-2015,
,,CU18.5MPMEDM-266,KILOGRAM,28.00,28.00,4.10,458.54,28-06-2015,
,,CU18HCMEDM-266,KILOGRAM,41.00,41.00,4.10,471.54,28-06-2015,
,,CU18MPMEDM-266,KILOGRAM,28.00,28.00,4.10,458.54,28-06-2015,
,,CU19.5MPMEDPT-25,KILOGRAM,28.00,28.00,4.10,458.54,28-06-2015,
,,CU19MPMEDM-266,KILOGRAM,28.00,28.00,4.10,458.54,28-06-2015,
,,CU20MPMEDPT-25,KILOGRAM,28.00,28.00,4.10,458.54,28-06-2015,
,,CU21MPMEDPT-25,KILOGRAM,29.00,29.00,4.10,459.54,28-06-2015,
,,CU22MPMEDM-266,KILOGRAM,30.00,30.00,4.10,460.54,28-06-2015,
,,CU23MPMEDPT-25,KILOGRAM,31.00,31.00,4.10,461.54,28-06-2015,
,,CU24MPMEDPT-25,KILOGRAM,32.00,32.00,4.10,462.54,28-06-2015,
,,CU26MPMEDPT-25,KILOGRAM,40.00,40.00,4.10,468.28,28-06-2015,
,,CU27DCMEDPT-25,KILOGRAM,55.00,55.00,4.10,485.54,28-06-2015,
,,CU27MPMEDPT-25,KILOGRAM,40.00,40.00,4.10,495.90,28-06-2015,
,,CU28MPMEDPT-25,KILOGRAM,41.00,41.00,4.32,466.75,28-06-2015,
,,CU29MPMEDPT-25,KILOGRAM,41.00,41.00,0.00,501.00,14-06-2015,21-06-2015
,,CU29SSMEDPT-10,KILOGRAM,69.00,69.00,4.10,499.54,28-06-2015,
,,CU30MPMEDPT-10,KILOGRAM,42.00,42.00,0.00,502.00,14-06-2015,21-06-2015
,,CU30SSMEDPT-10,KILOGRAM,70.00,70.00,4.10,500.54,28-06-2015,
,,CU31DCMEDPT-10,KILOGRAM,65.00,65.00,4.10,491.10,28-06-2015,
,,CU31MPMEDPT-10,KILOGRAM,42.00,42.00,0.00,502.00,14-06-2015,21-06-2015
,,CU31SSMEDPT-10,KILOGRAM,71.00,71.00,4.10,501.54,28-06-2015,
,,CU32MPMEDPT-10,KILOGRAM,43.00,43.00,0.00,503.00,14-06-2015,21-06-2015
,,CU32SSMEDPT-10,KILOGRAM,71.00,71.00,4.10,501.54,28-06-2015,
,,CU33MPMEDPT-10,KILOGRAM,44.00,44.00,0.00,504.00,14-06-2015,21-06-2015
,,CU33SSMEDPT-10,KILOGRAM,73.00,73.00,4.10,503.54,28-06-2015,
,,CU34MPMEDPT-10,KILOGRAM,45.00,45.00,0.00,505.00,14-06-2015,21-06-2015
,,CU34SSMEDPT-10,KILOGRAM,74.00,74.00,4.10,499.70,28-06-2015,
,,CU35MPMEDPT-10,KILOGRAM,47.00,47.00,0.00,507.00,14-06-2015,21-06-2015
,,CU36MPMEDPT-10,KILOGRAM,50.00,50.00,0.00,510.00,14-06-2015,21-06-2015
,,CU36SSMEDPT-10,KILOGRAM,81.00,81.00,4.10,511.54,28-06-2015,
,,CU37MPMEDPT-10,KILOGRAM,55.00,55.00,0.00,515.00,14-06-2015,21-06-2015
,,CU37SSMEDPT-10,KILOGRAM,88.00,88.00,4.10,518.54,28-06-2015,
,,CU38*3SSMEDPT-10,KILOGRAM,178.00,178.00,4.10,608.54,28-06-2015,
,,CU38*4SSMEDPT-10,KILOGRAM,177.00,177.00,4.10,607.54,28-06-2015,
,,CU38SSMEDPT-4,KILOGRAM,96.00,96.00,4.10,526.54,28-06-2015,
,,CU38HCFINEPT-10,KILOGRAM,88.00,88.00,4.10,518.54,28-06-2015,
,,CU39HCFINEPT-10,KILOGRAM,88.00,88.00,4.10,518.54,28-06-2015,
,,CU36MPFINEPT-10,KILOGRAM,44.00,44.00,4.05,469.75,28-06-2015,
,,CU35MPFINEPT-10,KILOGRAM,44.00,44.00,4.05,469.75,28-06-2015,
,,CU37MPFINEPT-10,KILOGRAM,49.00,49.00,4.05,474.75,28-06-2015,
,,CU38MPFINEPT-10,KILOGRAM,65.00,65.00,4.05,490.75,28-06-2015,
,,CU26MPFINEPT-25,KILOGRAM,39.50,39.50,4.05,465.25,28-06-2015,
,,CU26HCMEDPT-25,KILOGRAM,47.50,47.50,4.10,478.04,28-06-2015,
,,CU29MPFINEPT25,KILOGRAM,40.50,40.50,4.05,466.25,28-06-2015,
,,CU42.5SSFINEPT-4,KILOGRAM,140.00,140.00,4.10,570.54,28-06-2015,
,,CU35SSMEDPT-10,KILOGRAM,76.00,76.00,14.01,491.72,22-06-2015,28-06-2015
,,CU0.07SSFINEPT-4,KILOGRAM,170.00,170.00,0.00,616.07,14-06-2015,21-06-2015
,,CU0.75DCMEDM-266,KILOGRAM,0.01,0.01,0.00,485.07,14-06-2015,21-06-2015
,,CU20HCMEDM-266,KILOGRAM,0.01,0.01,4.10,433.37,28-06-2015,
,,CU1.05HCMEDM-266,KILOGRAM,41.00,41.00,4.10,471.54,28-06-2015,
,,CU20HCMEDPT-25,KILOGRAM,40.50,40.50,4.10,459.35,28-06-2015,
,,CU31DCMEDPT-25,KILOGRAM,65.00,65.00,0.00,526.40,14-06-2015,21-06-2015
,,CU22HCMEDPT-25,KILOGRAM,42.00,42.00,4.10,472.54,28-06-2015,
,,CU24HCMEDPT-25,KILOGRAM,46.00,46.00,4.10,476.54,28-06-2015,
,,CU28HCMEDPT-25,KILOGRAM,50.00,50.00,4.10,480.54,28-06-2015,
,,CU25HCMEDPT-25,KILOGRAM,47.00,47.00,4.10,477.54,28-06-2015,
,,CU23HCMEDPT-25,KILOGRAM,45.00,45.00,4.10,475.54,28-06-2015,
,,CU21HCMEDPT-25,KILOGRAM,41.50,41.50,4.10,472.04,28-06-2015,
,,CU20.5HCMEDPT-25,KILOGRAM,43.00,43.00,4.10,473.54,28-06-2015,
,,CU19HCMEDM-266,KILOGRAM,40.00,40.00,4.10,458.85,28-06-2015,
,,AL32MPMEDPT-10,KILOGRAM,122.00,122.00,152.25,274.25,23-06-2015,
