,,,PRICE PROPOSAL,,,,,,,
S.K Jain,,,,,,,,,,
,,,(CCTV & FAS),,,,Ref No. :  ,,,
,,,,,,,,,,
,,,Renovation,,,,,,,
,,,,,,,Date. :  ,,"January 06, 2015",
,,,Flagship,,,,,,,
,ITEM,,,UNIT PRICE,QTY,TOTAL,,,,
,YAMAHA-FZ,,,1295.77,1,1295.77,,,,
,Conditions prevalent at the site at the time of Installation may affect system design & changes may be neccessary to compensate for the same.Goods once sold will not be taken back.,,,,,,,,,
,,,,,,,,,,
,SUB TOTAL,,,,,1295.77,,,,
,Grand Total In Words : ,,,,,,,,,
,,One Thousand Two Hundred Ninety-Five and Paise Seventy-Seven only,,,,,,,,
"14-Jul-2015 , 4.14 PM",,,,,,,,Page 1 of,, 1
"----------End Of Report----------
Generated By ebizframe10",,,,,,,,,,
