Invoice Id,Invoice Date,Currency,Customer,Qty,Unit,Gross,Discount,Other Charges,CENTRAL SALES TAX PAYABLE - 2.00%,CENTRAL SALES TAX PAYABLE - 5%,EXCISE ON SALES - 12.50%,OUTPUT VAT PAYABLE  @ 4%,OUTPUT VAT PAYABLE ADDITIONAL @ 1%,,Net Amount
SI001296,01-06-2015,INR,Denso India Ltd.,80.000,KG,39129.600,0.000,0.000,0.000,0.000,4891.000,1761.000,440.000,0.000,46221.600
SI001297,01-06-2015,INR,Denso India Ltd.,232.000,KG,113475.840,0.000,0.000,0.000,0.000,14184.000,5106.000,1277.000,0.000,134042.840
SI001298,01-06-2015,INR,Denso India Ltd.,368.000,KG,184044.160,0.000,0.000,0.000,0.000,23006.000,8282.000,2071.000,0.000,217403.160
SI001299,01-06-2015,INR,Denso India Ltd.,402.000,KG,196626.240,0.000,0.000,0.000,0.000,24578.000,8848.000,2212.000,0.000,232264.240
SI001300,01-06-2015,INR,Denso India Ltd.,550.000,KG,274516.000,0.000,0.000,0.000,0.000,34315.000,12353.000,3088.000,0.000,324272.000
SI001301,01-06-2015,INR,Denso India Ltd.,479.000,KG,239078.480,0.000,0.000,0.000,0.000,29885.000,10759.000,2690.000,0.000,282412.480
SI001302,01-06-2015,INR,Denso India Ltd.,331.000,KG,165208.720,0.000,0.000,0.000,0.000,20651.000,7434.000,1859.000,0.000,195152.720
SI001303,01-06-2015,INR,Denso India Ltd.,84.000,KG,43690.080,0.000,0.000,0.000,0.000,5461.000,1966.000,492.000,0.000,51609.080
SI001304,01-06-2015,INR,Denso India Ltd.,85.000,KG,44210.200,0.000,0.000,0.000,0.000,5526.000,1989.000,497.000,0.000,52222.200
SI001305,01-06-2015,INR,Denso India Ltd.,601.000,KG,295764.120,0.000,0.000,0.000,0.000,36971.000,13309.000,3327.000,0.000,349371.120
SI001306,01-06-2015,INR,Mandeep Cables P Ltd,2992.000,KG,25432.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25432.000
SI001307,01-06-2015,INR,Rama Trading Co,166.915,KG,82120.511,0.000,0.000,0.000,0.000,10265.000,3695.000,924.000,0.000,97004.511
SI001308,01-06-2015,INR,PREETHI KITCHEN ,221.545,KG,61087.432,0.000,0.000,1375.000,0.000,7636.000,0.000,0.000,0.000,70098.432
SI001309,01-06-2015,INR,LUMINOUS POWER ,1299.960,KG,300747.780,0.000,0.000,6767.000,0.000,37593.000,0.000,0.000,0.000,345107.780
SI001310,01-06-2015,INR,LUMINOUS POWER ,465.925,KG,108327.562,0.000,0.000,2437.000,0.000,13541.000,0.000,0.000,0.000,124305.562
SI001311,01-06-2015,INR,India Nippon Electrical Ltd ( ,1250.110,KG,623429.857,573425.000,1250.000,0.000,0.000,77929.000,0.000,0.000,0.000,129183.857
