Invoice Id,Invoice Date,Item Description,Currency,Customer,Qty,Unit,Gross,Discount,EXCISE ON SALES - 12.50%,OUTPUT VAT PAYABLE  @ 4%,OUTPUT VAT PAYABLE ADDITIONAL @ 1%,CENTRAL SALES TAX PAYABLE - 2.00%,Net Amount
SI002915,01-09-2015,CU36SSNYLONMEDPT-10 ,INR,HAVELLS INDIA LTD ( HARIDWAR),615.020,KG,1543.700,0.000,193.000,,,35.000,1771.700
,,,,,997.580,KG,2503.926,0.000,313.000,,,56.000,2872.926
,,,,,1954.245,KG,4905.155,0.000,613.000,,,110.000,5628.155
,,CU37SSNYLONMEDPT-10 ,INR,HAVELLS INDIA LTD ( HARIDWAR),529.695,KG,1329.534,0.000,166.000,,,30.000,1525.534
,,,,,1645.550,KG,4130.330,0.000,516.000,,,93.000,4739.330
,,,,,1903.170,KG,4776.957,0.000,597.000,,,107.000,5480.957
,,CU38SSMEDPT-10,INR,HAVELLS INDIA LTD ( HARIDWAR),236.255,KG,593.000,0.000,74.000,,,13.000,680.000
,,,,,996.765,KG,2501.880,0.000,313.000,,,56.000,2870.880
,,,,,1193.800,KG,2996.438,0.000,375.000,,,67.000,3438.438
SI002916,01-09-2015,CU0.125SSHFINEPT-4,INR,Elin Electronics Ltd,3.385,KG,38.454,0.000,5.000,2.000,,,45.454
,,CU0.25SSFINEPT-10,INR,Elin Electronics Ltd,204.865,KG,2327.266,0.000,291.000,105.000,26.000,,2749.266
SI002928,02-09-2015,AL29MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,502.075,KG,2384.856,0.000,298.000,,,,2682.856
SI002947,03-09-2015,AL0.75MPMEDPT-90,INR,G K WINDING WIRES LTD. - FARIDABAD,187.710,KG,375.420,0.000,47.000,,,,422.420
,,AL28MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,478.395,KG,4185.956,0.000,523.000,,,,4708.956
SI002965,04-09-2015,CU35SSMEDPT-10,INR,G K WINDING WIRES LTD. - DELHI,287.795,KG,4909.783,0.000,614.000,,,,5523.783
SI002973,04-09-2015,AL0.75MPMEDPT-90,INR,G K WINDING WIRES LTD. - FARIDABAD,154.855,KG,309.710,0.000,39.000,,,,348.710
SI002990,07-09-2015,AL28MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,515.865,KG,4513.819,0.000,564.000,,,,5077.819
,,AL29MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,174.155,KG,1001.391,0.000,125.000,,,,1126.391
SI002991,07-09-2015,CU34.5MPMEDPT-10,INR,G K WINDING WIRES LTD. - DELHI,317.440,KG,1384.038,0.000,173.000,,,,1557.038
